,id,generated
10,W1987052465,"['internal friction', 'polypropylene', 'polypropylene filled with nanometer-scale calcium carbonate particles', 'nanometer-scale calcium carbonate particles', 'calcium carbonate particles', 'relative elastic modulus', 'torsion pendulum', 'glass transition', 'pre-melting process', 'crystalline parts', 'apparent activation energy', 'activation energy', 'peak temperature', 'tensile strength', 'flexural strength', 'filler']"
11,W4293832828,"▶ ['triple ductility', 'ductility', 'as-cast alloy', 'alloy', 'phase-selective recrystallization', 'recrystallization', 'soft phase', 'hard phase', 'microstructure', 'eutectic si phase', 'si phase', 'spheroidization', 'fine grain', 'tensile elongation', 'ultimate tensile strength', 'aluminum matrix', 'cyclic rolling', 'recrystallization', 'refinement', 'high-performance a357 alsi alloy', 'alsi alloy', 'sheet', 'performance']"
12,W2921648464,"atlas-craniofacial-implants,
['mineralization', 'electrospun gelatin', 'gelatin', 'calcium carbonate', 'calcium carbonate', 'tissue engineering', 'scaffold', 'cellular attachment', 'migration', 'proliferation', 'hydrophilic', 'porous', 'vascularity', 'attached cells', 'biocompatible', 'nano-fibers', 'smooth gelatin', 'glutaraldehyde', 'crosslinking agents', 'crosslinking time', 'water resistance', 'stability', 'cell viability', 'mass increase', 'swelling', 'biodegradability', 'calcium carbonate', 'calcium', 'nucleation sites', 'tissue regeneration', 'tissue', 'regeneration']"
13,W2054741310,"['rapid solidification', 'lightweight metal alloy', 'light metal alloy', 'light alloy', 'aluminium', 'magnesium', 'titanium', 'mechanical property', 'alloying behavior', 'lightweight metal', 'alloy exploration']"
14,W4210719805,"['casting process', 'casting', 'magnesium alloys', 'chill mold', 'chill', 'mold', 'casting defects', 'casting efficiency', 'process parameter optimization', 'heat treatment', 'physical property', 'mechanical property', 'ready-made casting']"
15,W2754835514,"['b-doped silicon nanocrystal', 'p-doped silicon nanocrystal', 'silicon nanocrystal', 'ab initio calculation', 'structural property', 'electronic property', 'optical property', 'free-standing silicon nanocrystal', 'matrix-embedded silicon nanocrystal', 'silicon nanocrystal diameter', 'nanocrystal termination', 'total-energy consideration', 'dopant localization', 'acceptor level', 'donor level', 'band gap', 'impurity activation energy', 'optical property difference', 'b-doped silicon nanocrystal absorption spectrum', 'p-doped silicon nanocrystal absorption spectrum', 'absorption spectrum']"
16,W1987584210,"▶ strain rate sensitivity of strength
###


['strain rate sensitivity', 'strength', 'twip steel', 'partially recrystallized fine grained structure', 'fine grained structure', 'recrystallized fine grains', 'rolling-deformation microstructures', 'microstructures', 'severely cold-rolled', 'cold-rolled', 'annealing', 'morphology', 'fine lamellar dislocation cell structure', 'dislocation cell structure', 'twin/matrix lamellar structure', 'twin', 'mean diameter', 'recrystallized grains', 'tensile deformation behavior', 'deformation behavior', 'strain rate', 'activation volume of dislocations']"
17,W2003050392,"['open-celled metal foam', 'open-celled', 'metal foam', 'metal', 'foam', 'replication technique', 'reticulated polyurethane template', 'polyurethane template', 'slurry', 'thermal removal', 'sintering step', 'density', 'cell structure', 'cell size', 'compression test', 'acoustical test', 'acoustical']"
18,W2236282251,"['hybrid fibre reinforcement', 'hybrid fibre', 'fire resistance performance', 'char morphology', 'intumescent coating', 'rockwool fiber', 'glass wool fiber', 'mechanical property', 'fire test', 'bunsen burner', 'electric furnace', 'steel temperature', 'thermogravimetric analysis', 'thermal stability', 'scanning electron microscopy', 'energy dispersive spectrometry', 'energy dispersive analysis', 'spectrometry', 'elemental composition', 'hybrid fibre reinforcement']"
19,W2031412810,"atm, crystal shape, equilibrium crystal shape, 6h silicon, 4hsic, non-planar substrate, silicon-face substrate, etched stripe mesa, low supersaturation, gas phase, c:si ratio, scanning electron microscopy, low index lattice plane, growth rate, polar wulff plot, wulff, growth habit, expected growth rate, slow growing plane, fast growing plane, high n, c ad-atoms, surface energy"
20,W2062432702,"['mechanical property', 'mo5silb2 single crystal', 'single crystal', 'silicide', 'ultra-high temperature structural application', 'optical floating zone method', 'single-crystal elastic constant', 'elastic constant', 'room temperature', 'anisotropic single-crystal elastic modulus', 'shear modulus', 'debye temperature', 'vickers hardness', 'fracture toughness', 'compression test', 'slip', '001010', '021 orientation', '100001', 'crystal structure']"
21,W2590574265,"['microstructural evolution', 'deformation behavior', 'pre-strained dual-phase steel', 'pre-strained steel', 'strain hardening', 'non-uniform deformation behavior', 'ferrite-martensite steel', 'crystal plasticity finite element method', 'finite element method', 'crystal plasticity', 'virtual model', 'interphase boundary configuration', 'habit plane orientation', 'texture intensity', 'deformation bands', 'necking', 'strain hardening']"
22,W2771607639,"['mechanical property', 'microstructure', 'inconel 718', 'additive manufacturing', 'direct metal laser sintering', 'metal laser sintering', 'sintering', 'aerospace industry', 'energy industry', 'power generation industry', 'inconel', 'precipitate phase', 'solution and double aging heat treatment', 'double aging heat treatment', 'hot isostatic pressing', 'hip', 'shot peening', 'sp']"
23,W2809901940,"['spheroidal graphite growth', 'graphite growth', 'nucleation and growth', 'solidification', 'ductile cast iron', 'synchrotron x-ray tomography', 'x-ray tomography', 'graphite microstructure formation', 'numerical model', 'microstructure formation', 'solidification state', 'graphite growth rate', 'particle neighbourhood', 'graphite growth', 'solidification state']"
24,W2021896609,"['planar defects', 'planar defect', '4hsi epilayer', '4hsi', 'micro-photoluminescence mapping', 'micro-photoluminescence', 'photoluminescence', 'stacking fault', 'stacking', 'frank double shockley', 'frank', 'shockley', 'in-grown', 'in-grown defect', 'intrinsic defect', 'defection']"
25,W2020678740,"['2024 aluminium alloy', '3003 aluminium alloy', 'aluminium alloy', 'direct chill casting', 'chill casting', 'semicontinuous casting', 'solute distribution', 'bonding strength', 'interfacial regions', 'metallographic examination', 'electron probe microanalysis', 'tensile tests', 'heterogeneous nucleation', 'nucleation', 'cobalt and manganese atoms', 'diffusion', 'mean tensile strength', 'tensile strength', 'strength']"
26,W2040406910,"['crystal orientation control', 'crystal orientation', 'ceramic', 'high magnetic field', 'magnetic field', 'high magnetic effect', 'magnetic field effect', 'slip casting', 'magnetic susceptibility', 'powder shape', 'magnetic field direction', 'crystal alignment', 'high magnetic field effect']"
27,W2942575864,"['biodegradable antibacterial alloy', 'antibacterial alloy', 'urinary implant material', 'urinary implant', 'fracture fixation', 'cardiovascular support', 'permanent implant', 'microstructure', 'mechanical property', 'degradation behavior', 'antibacterial test', 'encrustation test', 'antibacterial property', 'biodegradable property', 'non-magnetic property', 'anti-bacterial property', 'cu ion release', 'inhibition of biofilm formation', 'stone formation', 'biodegradable material', 'infection treatment', 'urinary tract infection', 'urinary system']"
28,W2068210585,"['ag doped zno film', 'zno film', 'pld', 'wurtzite structure', 'oxygen vacancy', 'zinc interstial', 'raman spectrum', 'local vibrational mode', 'ag doping', 'zno lattice']"
29,W2921290554,"['stacking fault', 'amorphous boundary', 'plastic deformation mechanism', 'nanostructure', 'dual-phase nanostructure', 'mg alloy', 'molecular dynamics simulation', 'deformation mechanism', 'deformation', 'tensile loading', 'plastic deformation', 'new grain generation and growth', 'grain growth', 'amorphous phase', 'plastic deformation', 'crystalline phase', 'stacking fault', 'amorphous boundary', 'plastic deformation mechanism', 'nanostructure', 'dual-phase nanostructure', 'mg alloy', 'molecular dynamics simulation', 'deformation mechanism', 'deformation', 'tensile loading', 'plastic deformation', 'new grain generation and growth', 'grain growth', 'amorphous phase', 'plastic deformation', 'crystalline phase', 'stacking fault', 'amorphous boundary', 'plastic deformation mechanism', 'nanostructure', 'dual-phase nanostructure', 'mg alloy', 'molecular dynamics simulation', 'deformation mechanism', 'deformation', 'tensile loading', 'plastic deformation', 'new grain generation and growth', 'grain growth', 'amorphous phase', 'plastic deformation', 'crystalline phase', 'stacking fault', 'amorphous boundary', 'plastic deformation mechanism', 'nanostructure', 'dual-phase nanostructure', 'mg alloy', 'molecular dynamics simulation', 'deformation mechanism', 'deformation', 'tensile loading', 'plastic deformation', 'new grain generation and growth', 'grain growth', 'amorphous phase', 'plastic deformation', 'crystalline phase', 'stacking fault', 'amorphous boundary', 'plastic deformation mechanism', 'nanostructure', 'dual-phase nanostructure', 'mg alloy', 'molecular dynamics simulation', 'deformation mechanism', 'deformation', 'tensile loading', 'plastic deformation', 'new grain generation and growth', 'grain growth', 'amorphous phase', 'plastic deformation', 'crystalline phase', 'stacking fault', '"
30,W2177313613,"atmosphere, optical anisotropy, sulfonated polyether ether ketone film, sulfonated polyether ether ketone, swelling behavior, water, morphology, thin film, optical anisotropy, water-induced swelling, swelling, free energy, liquid water, sorption, desorption, color change, yellow color, molecular assembly, aromatic rings, polymer backbone, microphase separation, water-induced swelling, hydration state, sulfonated polymer film, polymer, water, properties"
31,W2465942889,"['preparation of magosnoto2 materials', 'magosnoto2', 'corrosion in na3alf6alf3k3alf6bath', 'na3alf6', 'alf6', 'bath', 'yibiao xu', 'ph.d. student', 'yawei li', 'jianhong yang', 'professor', 'shaobai sang', 'qingwei qin', 'associate professor', 'bo ren', 'postgraduate student', 'state key laboratory of refractories and metallurgy', 'wuhan university of science & technology', 'wuhan', '430081', 'p.r. china', 'contact e-mail: liyawei@wust.edu.cn', 'online version', 'original article', 'doi: 10.1007/s11663-015-0295-0']"
32,W2958209402,"atmospheric pressure regeneration, vacuum regeneration, sf6 adsorbent, ex-service sf6 adsorbent, toxic, environmental damage, direct dumping, adsorption component, thermogravimetry, regeneration theory, vacuum heat treatment, harmful ingredient, infrared spectroscopy, adsorption isothermal curve, desorption capacity"
33,W2014307050,"['laser forming', 'laser', 'plastic deformation', 'thermal stresses', 'rapid nonlinear thermal cycles', 'nonlinear thermal cycles', 'mechanical forming', 'spring-back effect', 'tooling', 'external forces', 'thermal behavior', 'mechanical behavior', 'part geometry', 'laser process conditions', 'numerical simulation', 'empirical model']"
34,W2804633751,"▶ hydrophilic zif-8 decorated go nanosheets improve biocompatibility and separation performance of polyethersulfone hollow fiber membranes: a potential membrane material for bioartificial liver application, hydrophobic zif-8 nanoparticles, polyethersulfone hollow fiber membranes, bioartificial liver application, zeolitic imidazole framework-8, graphene oxide nanosheets, elemental mapping, ftiraultrasonication, ftiraultrasonication, ftiraultrasonication spectroscopy, ftiraultrasonication spectroscopy, ftiraultrasonication spectroscopy, fourier transform infrared spectroscopy, fourier transform infrared spectroscopy, hepg2 cells, ultrafiltration coefficient, molecular weight cutoff, desirable molecular weight cutoff, biomedical applications, urea synthesis, albumin secretion, antioxidative, hemocompatible, attachment, proliferation, hepatic cell culture, polyethersulfone, hollow fiber membrane, polyethersulfone hollow fiber membrane, bioartificial liver, liver, zif-8, go, nanohybrid, elemental mapping, ftiraultrasonication, ftiraultrasonication, ftiraultrasonication spectroscopy, ftiraultrasonication spectroscopy, hepg2 cells, ultrafiltration coefficient, molecular weight cutoff, desirable molecular weight cutoff, biomedical applications, urea synthesis, albumin secretion, antioxidative, hemocompatible, attachment, proliferation, hepatic cell culture, polyethersulfone, hollow fiber membrane, polyethersulfone hollow fiber membrane, bioartificial liver, liver, zif-8, go, nanohybrid, hydrophilic zif-8 decorated go nanosheets, polyethersulfone hollow fiber membranes, bioartificial liver application, zeolitic imidazole framework-8, graphene oxide n"
35,W2552995700,"['transmission electron microscopy', 'transmission electron microscopy', 'realistic data source', 'micromagnetic simulation', 'polycrystalline nickel nanowire', 'nickel nanowire', 'electrodeposited nanowire', 'dark field image analysis', 'real crystal format', 'finite elements network', 'numerical model', 'nmag', 'resolved equation', 'coercivity field dependence', 'external magnetic field', 'magnetic remanence data', 'magnetic remanence', 'reversion', 'magnetic moment reversion', 'microscopy analysis', 'real microstructure']"
36,W916648846,"▶ ['bimetallic layered casting', 'layered casting', 'casting', 'alloy steel', 'grey cast iron', 'founding method', 'layer coating', 'mould cavity preparation', 'casting technology', 'working part layer', 'pearlitic grey cast iron', 'alloy steel', 'plated steel', 'ultrasonic nondestructive testing', 'non-destructive testing', 'structure research', 'macro-hardness research', 'micro-hardness research', 'solidification simulation', 'novaflow & solid software', 'solidification simulation software', 'computer simulation', 'corrosion resistance', 'heat resistance']"
37,W2026938535,"['large-scale production', 'bulk metallic glass sample', 'metallic glass sample', 'low-pressure die-casting', 'die-casting', 'low-pressure', 'die-casting technique', 'charge temperature', 'injection pressure', 'fluid velocity', 'mold gate', 'as-cast sample', 'melt temperature', 'casting pressure', 'processing map', 'highest quality casting']"
38,W1506102058,"['piezoelectric nanowire', 'energy harvesting', 'energy harvesting application', 'nanowire', 'piezoelectric material', 'mechanical energy', 'electricity', 'nanogenerator', 'microscale power supply', 'sensor system', 'piezoelectric theory', 'piezoelectric material', 'working mechanism', 'modeling', 'structure design', 'nanogenerator']"
39,W2004860548,"▶ ['physical simulation', 'hot deformation', 'microstructural evolution', 'aisi 1016 steel', 'hot compression test', 'gleeble 3800 physical simulator', 'strain rate', 'light optical microscopy', 'scanning electron microscopy', 'deformed sample', 'water quenched sample', 'dynamic materials model', 'strain rate sensitivity map', 'flow localization', 'instability parameter', 'power dissipation efficiency', 'thermal softening', 'adiaabatic flow', 'hot deformation']"
