,id,generated
10,W1987052465,"['internal friction', 'polypropylene', 'nanometer-scale calcium carbonate particles', 'nanometer-scale calcium carbonate', 'calcium carbonate', 'internal friction measurement', 'torsion pendulum', 'glass transition', 'pre-melting process', 'crystalline parts', 'apparent activation energy', 'peak', 'tensile strength', 'flexural strength', 'crystallization degree', 'molecule mobility']"
11,W4293832828,"['triple ductility', 'ductility', 'as-cast alsi alloy', 'alsi alloy', 'phase-selective recrystallization', 'phase-selective', 'recrystallization', 'microstructure evolution', 'eutectic alsi alloy', 'silicon alloy', 'soft phase', 'hard phase', 'tensile elongation', 'elongation', 'ultimate tensile strength', 'tensile strength', 'cyclic rolling', 'rolling', 'recrystallization', 'high performance alsi alloy sheet', 'high performance', 'alsi alloy sheet', 'large scale', 'performances', 'alsi alloy']"
12,W2921648464,"['mineralization', 'electrospun gelatin', 'gelatin', 'calcium carbonate composites', 'dental applications', 'tissue engineered scaffolds', 'scaffolds', 'cellular attachment', 'cellular migration', 'cellular proliferation', 'matrix', 'vascularity', 'mechanical support', 'attached cells', 'electrospinning', 'nanofibers', 'glutaraldehyde', 'crosslinking agent', 'swelling test', 'biodegradability test', 'mass increase', 'calcified gelatin mats', 'gelatin mats', 'nucleation sites', 'cap structures', 'mineralization', 'tissue regeneration applications']"
13,W2054741310,"['rapid solidification', 'lightweight metal alloy', 'light metals aluminium', 'aluminium', 'magnesium', 'titanium', 'mechanical property', 'alloying behavior', 'rs alloy exploration']"
14,W4210719805,"['casting magnesium alloy', 'magnesium alloy', 'chill mold', 'casting process', 'quality of casting', 'casting defects', 'magnesium casting', 'heat treatment', 'physical property', 'mechanical property']"
15,W2754835514,"['b-doped silicon nanocrystal', 'p-doped silicon nanocrystal', 'silicon nanocrystal', 'n-doping', 'p-doping', 'ab initio calculation', 'structural property', 'electronic property', 'optical property', 'substitutional doping', 'free-standing silicon nanocrystal', 'matrix-embedded silicon nanocrystal', 'nanocrystal diameter', 'nanocrystal termination', 'total-energy consideration', 'acceptor level', 'donor level', 'impurity activation energy', 'optical property', 'b-and p-co-doped nanocrystal', 'co-doped nanocrystal', 'structural distortion', 'impurity formation energy', 'absorption spectrum', 'red shift']"
16,W1987584210,"['strain rate sensitivity', 'strength', 'plasticity', 'twip', 'cold-rolled', 'annealing', 'recrystallized microstructure', 'microstructure', 'fine grained structure', 'recrystallization', 'cold rolling', 'annealing temperature', 'volume fraction', 'tensile deformation behavior', 'deformation behavior', 'strain rate', 'tensility', 'elongation', 'activation volume of dislocations', 'dislocations']"
17,W2003050392,"['open-celled metal foam', 'metal foam', 'replication technique', 'reticulated polyurethane template', 'polyurethane template', 'slurry', 'sintering step', 'stainless steel 316L', 'steel', 'porous component', 'density', 'cell structure', 'cell size', 'compression test', 'acoustical test', 'acoustical', 'mechanical property']"
18,W2236282251,"['hybrid fibre reinforcement', 'fire resistance performance', 'intumescent coating', 'fire retardant intumescent coating', 'mechanical property', 'rockwool fiber', 'glass wool fiber', 'intumescent coating formulation', 'bunsen burner', 'electric furnace', 'thermal stability', 'thermogravimetric analysis', 'scanning electron microscopy', 'microscopy', 'energy dispersive spectrometry', 'spectrometry', 'elemental composition', 'char morphology']"
19,W2031412810,"['equilibrium crystal shape', 'crystal shape', '6h silc', '4hsilc', 'non-planar substrate', 'non-planar', 'mesa', 'etched mesa', 'mesa etching', 'gas phase c:si ratio', 'c:si ratio', 'scanning electron microscopy', 'microscopy', 'facet', 'lattice plane', 'growth rate', 'polar wulff plot', 'wulff plot', 'growth habit', 'geometry']"
20,W2062432702,"['mechanical property', 'mo5sib2 single crystal', 'mo5sib2', 'single crystal', 'refractory metal silicide', 'silicide', 'optical floating zone method', 'optical floating zone', 'elastic constant', 'room temperature', 'moisi2', 'shear modulus', 'bulk modulus', 'youngs modulus', 'debye temperature', 'vickers hardness', 'fracture toughness', 'compression test', 'slip', 'crystal structure']"
21,W2590574265,"['microstructural evolution', 'deformation behavior', 'pre-strained dual-phase steel', 'dual-phase steel', 'ferrite-martensite', 'crystal plasticity finite element method', 'crystal plasticity', 'finite element method', 'micro-tensile test', 'micro-tensility', 'interphase boundary', 'habit plane', 'martensite phase', 'ultrafine-grained ferrite phase', 'severely-deformed sample', 'deformation band', 'formation of deformation bands', 'deformation', 'necking', 'strain hardening']"
22,W2771607639,"['mechanical property', 'microstructure', 'inconel 718', 'direct metal laser sintering', 'laser sintering', 'metal laser sintering', 'additive manufacturing', 'aerospace industry', 'energy industry', 'power generation industry', 'precipitate phase', 'solution treatment', 'double aging', 'hot isostatic pressing', 'shot peening', 'thermal treatment', 'hardness', 'tensile', 'elongation', 'yield stress']"
23,W2809901940,"['spheroidal graphite growth', 'spheroidal graphite', 'graphite growth', 'graphite', 'ductile cast iron', 'cast iron', 'solidification', 'synchrotron x-ray tomography', 'x-ray tomography', 'nucleation and growth', 'nucleation', 'graphite growth rate', 'graphite sphere growth', 'solidification state']"
24,W2021896609,"['spatial profiling', 'planar defects', '4hsc epilayers', 'epilayers', 'micro-photoluminescence mapping', 'micro-photoluminescence', 'photoluminescence', 'micro-pl spectroscopy', 'micro-pl', 'stacking faults', 'pl emissions', 'room temperature', 'intrinsic frank double shockley shockley', 'shockley', 'in-grown shockley', 'in-grown', 'micro-pl intensity mapping', 'intensity mapping', 'pl spectra', 'sfs', 'frank double shockley', 'shockley defects', 'in-grown defects', 'epilayer']"
25,W2020678740,"['bimetal', 'direct chill casting', 'chill casting', 'semi-continuous casting', '2024 aluminium alloy', '3003 aluminium alloy', 'aluminium alloy', 'microstructure', 'solute distribution', 'bonding strength', 'interfacial region', 'metallurgical bonding', 'tensile test', 'heterogeneous nucleation', 'nucleation', 'cu atom', 'mg atom', 'diffusion', 'mean tensile strength', 'tensile strength', 'interface']"
26,W2040406910,"['controlled crystal orientation', 'crystal orientation', 'ceramic', 'high magnetic field', 'magnetic field', 'magnetic effect', 'slip casting', 'high magnetic field effect', 'gravity force', 'magnetic susceptibility', 'powder shape', 'magnetic field direction']"
27,W2942575864,"['biodegradable antibacterial fermnccu alloy', 'antibacterial alloy', 'urinary implant material', 'fracture fixation', 'cardiovascular support', 'complication of permanent implant', 'fe based alloy', 'microstructure', 'mechanical property', 'degradation behavior', 'antibacterial property', 'antiencrustation property', 'immersion test', 'antibacterial test', 'encrustation test', 'biofilm inhibition', 'stone formation inhibition', 'cu ions release', 'inhibition of biofilm', 'inhibition of stone formation', 'cu2+ ions release']"
28,W2068210585,"['raman spectra', 'ag doped zno films', 'zno films', 'pulsed laser deposition method', 'pld', 'wannealed films', 'annealed films', 'wurtzite structure', 'ozone vacancies', 'zinc interstitials', 'local vibrational mode', 'ag doping', 'zno lattice']"
29,W2921290554,"['stacking fault', 'amorphous boundary', 'plastic deformation', 'dual-phase nanostructure', 'dual-phase', 'nanostructure', 'mg alloy', 'molecular dynamics simulation', 'simulation', 'tensile loading', 'spacing', 'plastic deformation mode', 'new grain generation', 'crystalline phase', 'amorphous phase', 'plastic deformation', 'crystalline phase', 'amorphous phase']"
30,W2177313613,"['water effect', 'morphology', 'swelling behavior', 'sulfonated polyether ether ketone film', 'sulfonated polyether', 'ether ketone', 'thin film', 'optical anisotropy', 'ambient atmosphere', 'internal stresses', 'free energy', 'liquid water', 'desorption', 'molecular assembly', 'aromatic rings', 'polymer backbone', 'color change', 'low humidity', 'sulfonic acid group', 'microphase separation behavior', 'polymer', 'hydration state']"
31,W2465942889,"['mg osn o2 tio2 material', 'corrosion', 'na3alf6 alf3 k3alf6 bath', 'alf3', 'yibiao xu', 'ph.d. student', 'yawei li', 'jianhong yang', 'shaobai sang', 'qingwei qin', 'bo ren', 'state key laboratory of refractories and metallurgy', 'refractories', 'metallurgy', 'wuhan university of science & technology', 'wuhan', 'pr china', 'corrosion resistance']"
32,W2958209402,"['regeneration technology', 'ex-service sf6 adsorbent', 'sf6 adsorbent', 'adsorbent', 'vacuum heat treatment', 'heat treatment', 'adsorption component analysis', 'thermogravimetry', 'regeneration method', 'vacuum', 'harmful ingredient', 'infrared spectroscopy', 'adsorption isothermal curve', 'desorption capacity', 'molecular sieve', 'performance recovery rate']"
33,W2014307050,"['laser forming', 'laser', 'plastic deformation', 'thermal stresses', 'thermal cycle', 'plastic', 'thermal', 'mechanical forming', 'mechanical', 'hard tooling', 'external forces', 'spring-back effect', 'thermo-mechanical behaviour', 'thermal-mechanical', 'laser forming process', 'aerospace', 'shipbuilding', 'microelectronics', 'heating pattern', 'analytical model', 'numerical simulation', 'empirical model']"
34,W2804633751,"['hydrophilic zif-8 decorated go nanosheets', 'nanosheets', 'go nanosheets', 'biocompatibility', 'separation performance', 'polyethersulfone hollow fiber membranes', 'hollow fiber membranes', 'membranes', 'zeolitic imidazole framework-8', 'zif-8', 'nanoparticles', 'polyethersulfone', 'hydrophilicity', 'elemental mapping', 'fourier transform infrared', 'fourier transform', 'infrared', 'attachment and proliferation of hep g2 cells', 'proliferation of hep g2 cells', 'hep g2 cells', 'urea synthesis', 'albumin secretion', 'ultrafiltration coefficient', 'molecular weight cutoff', 'hydrophilic zg nanohybrids', 'zg nanohybrids', 'nanohybrids', 'biocompatible material', 'biomedical application', 'bioartificial liver application', 'liver application', 'artificial liver']"
35,W2552995700,"['transmission electron microscopy', 'electron microscopy', 'micromagnetic simulation', 'polycrystalline nickel nanowire', 'nickel nanowire', 'nanowire', 'electrodeposited nickel nanowire', 'dark field image analysis', 'crystal format', 'finite element network', 'numerical model', 'nmag', 'coercivity field dependence', 'magnetic remanence', 'electron microscopy analysis', 'magnetic studies', 'reversion', 'magnetic moments']"
36,W916648846,"['bimetallic layered casting', 'layered casting', 'alloy steel', 'grey cast iron', 'founding method', 'layer coating', 'mould cavity preparation', 'pearlitic grey cast iron', 'working part layer', 'layer', 'ultrasonic nondestructive testing', 'nondestructive testing', 'solidification simulation', 'novaflow & solid software', 'solidification', 'corrosion resistant layered casting', 'corrosion resistant', 'layered casting']"
37,W2026938535,"['large-scale production', 'ca65mg15zn20 bulk metallic glass sample', 'bulk metallic glass sample', 'metallic glass sample', 'low-pressure die-casting', 'low-pressure', 'die-casting', 'repetitive low-pressure die-casting technique', 'repetitive low-pressure', 'low-pressure', 'die-casting technique', 'casting technique', 'charge temperature', 'injection pressure', 'fluid velocity', 'mould gate', 'length', 'porosity', 'crystalline phases', 'as-cast sample', 'casting sample', 'processing map', 'melt temperature', 'casting pressure']"
38,W1506102058,"['piezoelectric nanowire', 'nanowire', 'energy harvesting application', 'energy harvesting', 'mechanical energy', 'electricity', 'piezoelectric one-dimensional nanomaterial', 'one-dimensional nanomaterial', 'nano-generator', 'microscale power supply', 'sensor system', 'piezoelectric theory', 'piezoelectric material', 'working mechanism', 'modeling', 'structure design', 'nanogenerator', 'structural design']"
39,W2004860548,"['hot deformation', 'microstructural evolution', 'aisi 1016 steel', 'steel', 'hot compression test', 'gleeble 3800 physical simulator', 'physical simulator', 'temperature range', 'austenitization', 'strain rate', 'microstructural evolution', 'light optical microscopy', 'scanning electron microscopy', 'ebsd measurement', 'dynamic materials model', 'strain rate sensitivity map', 'flow instability range', 'flow instability', 'flow localization', 'instability parameter', 'power dissipation efficiency', 'thermal softening', 'adiabatic flow', 'sinh type constitutive equation', 'constitutive equation', 'apparent activation energy', 'plastic deformation', 'dislocation gliding', 'dislocation climbing']"
