,id,generated
10,W1987052465,"# ['internal friction', 'polypropylene', 'nanometer-scale calcium carbonate particles', 'nanometer-scale calcium carbonate', 'calcium carbonate', 'internal friction measurement', 'torsion pendulum', 'glass transition', 'pre-melting process', 'crystalline parts', 'apparent activation energy', 'tensile strength', 'flexural strength', 'crystallization degree', 'molecule mobility']"
11,W4293832828,"# ['triple ductility', 'ductility', 'as-cast alsi alloy', 'alsi alloy', 'phase-selective recrystallization', 'phase-selective', 'recrystallization', 'microstructure evolution', 'eutectic si phase', 'si phase', 'high degree of spheroidization', 'spheroidization', 'fine grains', 'hard si particles', 'soft al grains', 'tensile elongation', 'elongation', 'ultimate tensile strength', 'tensile strength', 'alsi alloy sheet', 'large scale production', 'cylic rolling', 'recrystallization', 'high performance alsi alloy', 'alsi alloy', 'cyclic rolling', 'recrystallization', 'elongation', 'strength']"
12,W2921648464,"# ['mineralization', 'electrospun gelatin/cca composites', 'gelatin', 'cca', 'dental applications', 'tissue-engineered scaffolds', 'scaffold', 'cellular attachment', 'cellular migration', 'cellular proliferation', 'matrix', 'vascularity', 'mechanical support', 'attached cells', 'electrospun composite materials', 'nanofiber', 'glutaraldehyde', 'crosslinking agent', 'cell viability', 'swelling test', 'biodegradability test', 'calcified gelatin mats', 'gelatin mats', 'nucleation sites', 'cap structures', 'mineralization']"
13,W2054741310,"['rapid solidification', 'lightweight metal alloy', 'light metal alloy', 'metal alloy', 'aluminum', 'magnesium', 'titanium', 'mechanical property', 'alloying behavior', 'rs alloy exploration']"
14,W4210719805,"# --END--###


['casting magnesium alloy', 'magnesium alloy', 'chill mold', 'casting process', 'quality of casting', 'casting defects', 'magnesium casting', 'heat treatment', 'physical property', 'mechanical property']"
15,W2754835514,"# ['b-doped silicon nanocrystal', 'p-doped silicon nanocrystal', 'silicon nanocrystal', 'ab initio calculation', 'structural property', 'electronic property', 'optical property', 'substitutional doping', 'dopant', 'nanocrystal diameter', 'nanocrystal termination', 'total-energy consideration', 'acceptor level', 'donor level', 'impurity activation energy', 'optical property', 'co-doped nanocrystal', 'carrier', 'structural distortion', 'absorption spectra', 'red shift']"
16,W1987584210,"# ['strain rate sensitivity', '31mn-3al-3si twip steel', 'twip', 'steel', 'partially recrystallized fine grained structure', 'recrystallized fine grained structure', 'fine grained structure', 'recrystallization', 'rolling-deformation microstructure', 'rolling-deformation', 'microstructure', 'annealing temperature', 'annealing', 'volume fraction of recrystallized fine grains', 'mean diameter of recrystallized grains', 'tensile deformation behavior', 'strain rate', 'tensility', 'elongation', 'dislocation activation volume']"
17,W2003050392,"['open-celled metal foam', 'metal foam', 'replication technique', 'reticulated polyurethane template', 'polyurethane template', 'slurry', 'sintering step', 'stainless steel 316L', 'steel 316L', 'porous component', 'density', 'cell structure', 'cell size', 'compression test', 'acoustical test', 'acoustical property', 'mechanical property']"
18,W2236282251,"# ['hybrid fibre reinforcement', 'fire resistance performance', 'fire retardant intumescent coating', 'intumescent coating', 'rockwool fiber', 'glass wool fiber', 'mechanical property', 'char morphology', 'bunsen burner', 'electric furnace', 'steel temperature', 'thermal stability', 'thermogravimetric analysis', 'scanning electron microscopy', 'microscopy', 'energy dispersive spectrometry', 'spectrometry', 'elemental composition', 'survived elevated temperature']"
19,W2031412810,"# ['equilibrium crystal shape', 'crystal shape', '6h silicon carbide', '4h silicon carbide', 'non-planar substrate', 'mesa', 'etched mesa', 'low supersaturation condition', 'gas phase c:si ratio', 'scanning electron microscopy', 'facet', 'lattice plane', 'growth rate', 'polar wulff plot', 'wulff plot', 'average growth rate', 'fast growing plane', 'slow growing plane', 'high n plane', 'c ad-atom', 'surface energy']"
20,W2062432702,"# --END--###


['mechanical property', 'mo5sib2 single crystal', 'mo5sib2', 'refractory metal silicide', 'silicide', 'optical floating zone method', 'single crystal elastic constant', 'elastic constant', 'room temperature', 'moSi2', 'shear modulus', 'debye temperature', 'bulk modulus', 'youngs modulus', 'vickers hardness', 'fracture toughness', 'compression test', 'slip', 'crystal structure']"
21,W2590574265,"# ['microstructural evolution', 'deformation behaviour', 'pre-strained dual-phase steel', 'dual-phase steel', 'ferrite-martensite', 'crystal plasticity finite element method', 'crystal plasticity', 'finite element method', 'micro-tensile test', 'micro-tensility', 'interphase boundary', 'habit plane', 'martensite phase', 'ultrafine-grained ferrite phase', 'severely-deformed sample', 'deformation band', 'formation of deformation bands', 'deformation', 'necking', 'strain hardening']"
22,W2771607639,"# ['mechanical property', 'microstructure', 'inconel 718', 'direct metal laser sintering', 'laser sintering', 'additive manufacturing', 'aerospace industry', 'energy industry', 'power generation industry', 'metal laser sintering', 'precipitate phase', 'solution treatment', 'double aging', 'hot isostatic pressing', 'shot peening', 'thermal treatment']"
23,W2809901940,"['spheroidal graphite growth', 'spheroidal graphite', 'graphite growth', 'graphite', 'ductile cast iron', 'cast iron', 'solidification', 'synchrotron x-ray tomography', 'x-ray tomography', 'nucleation and growth', 'nucleation', 'graphite nucleation', 'microstructure formation', 'solidification model', 'graphite growth rate', 'graphite sphere growth', 'particle neighborhood', 'solidification state']"
24,W2021896609,"['spatial profiling', 'planar defects', '4hsc epilayers', 'epilayers', 'micro-photoluminescence mapping', 'micro-photoluminescence', 'photoluminescence', 'micro-pl spectroscopy', 'micro-pl', 'stacking faults', 'pl emissions', 'room temperature', 'intrinsic frank double shockley shockley', 'shockley', 'in-grown shockley', 'in-grown', 'micro-pl intensity mapping', 'intensity mapping', 'pl intensity', 'emission band', 'sf shapes', 'sf distributions', 'sf densities']"
25,W2020678740,"# --END--###


['2024/3003 aluminium alloy bimetal', 'aluminium alloy bimetal', 'direct chill casting', 'chill casting', 'semicontinuous casting', 'microstructure', 'solute distribution', 'bonding strength', 'interfacial region', 'clad slab', 'metallurgical bonding', 'tensile test', 'heterogeneous nucleation', 'nucleation', 'cu atom', 'mg atom', 'diffusion', 'mean tensile strength', 'tensile strength', 'interface strength']"
26,W2040406910,"# --END:--

['controlled crystal orientation', 'crystal orientation', 'ceramic', 'high magnetic field', 'magnetic field', 'magnetic effect', 'slip casting', 'gravity force', 'magnetic susceptibility', 'powder shape', 'magnetic field direction', 'crystal alignment']"
27,W2942575864,"# ['biodegradable antibacterial fermnccu alloy', 'antibacterial', 'urinary implant material', 'implant material', 'fe-based alloy', 'fracture fixation', 'cardiovascular support', 'complication', 'permanent implant', 'microstructure', 'mechanical property', 'degradation behavior', 'antibacterial test', 'encrustation test', 'immersion test', 'biofilm', 'stone formation', 'cu ions release', 'infection', 'encrustation']"
28,W2068210585,"['raman spectra', 'ag doped zno films', 'zno films', 'pulsed laser deposition method', 'pld', 'raman spectra', 'unannealed films', 'annealed films', 'wurtzite structure', 'ozone vacancies', 'zinc interstitials', 'local vibrational mode', 'ag doping', 'zno lattice']"
29,W2921290554,"# ['effect of stacking fault', 'stacking fault', 'amorphous boundary', 'plastic deformation mechanism', 'dual-phase nanostructure', 'nanostructure', 'mg alloy', 'molecular dynamics simulation', 'simulation', 'tensile loading', 'spacing', 'plastic deformation mode', 'new grain generation', 'crystalline phase', 'amorphous phase', 'plastic deformation', 'amorphous phase', 'crystalline phase']"
30,W2177313613,"# ['water effect', 'morphology', 'swelling behavior', 'sulfonated polyether ether ketone film', 'sulfonated polyether', 'ether ketone', 'thin film', 'optical anisotropy', 'ambient atmosphere', 'water taken up', 'internal stresses', 'free energy', 'sorption liquid water', 'liquid water', 'colorless to intense yellow color', 'molecular assembly', 'aromatic rings', 'polymer backbone', 'hydration sulfonic acid groups', 'microphase separation behavior', 'polymer', 'water-induced swelling']"
31,W2465942889,"# --END--

['erratum', 'preparation', 'mgosnanto2 materials', 'corrosion', 'na3alf6alf3 alkali fluoride', 'fluoride', 'k3al2o3 borax', 'borax', 'corrosion evaluation', 'x-ray diffraction', 'x-ray', 'diffraction', 'scanning electron microscopy', 'microscopy', 'electron probe microanalysis', 'probe microanalysis', 'mgosnanto2-x oxygen contents', 'oxygen contents', 'potential difference', 'current density', 'fluoride-saturated corrosion products', 'saturated corrosion products', 'corrosion resistance']"
32,W2958209402,"# ['regeneration technology', 'ex-service sf6 adsorbent', 'sf6 adsorbent', 'adsorbent', 'vacuum heat treatment', 'heat treatment', 'thermogravimetry', 'regeneration method', 'sf6 adsorbent regeneration', 'adsorbent regeneration', 'vacuum', 'harmful ingredient', 'infrared spectroscopy', 'adsorption isothermal curve', 'desorption capacity', 'molecular sieve']"
33,W2014307050,"['laser forming', 'laser', 'plastic deformation', 'thermal stresses', 'thermal cycle', 'plastic', 'thermal', 'mechanical forming', 'mechanical', 'hard tooling', 'external forces', 'spring-back effect', 'thermo-mechanical behavior', 'thermo-mechanical', 'laser forming process', 'laser processing', 'aerospace', 'shipbuilding', 'microelectronics', 'heating pattern', 'analytical model', 'numerical simulation', 'empirical model']"
34,W2804633751,"# ['hydrophilic zif-8 decorated go nanosheets', 'nanosheets', 'go nanosheets', 'imidazole framework-8', 'if-8', 'hydrophobic nature', 'zeolitic imidazole', 'membrane material', 'bioartificial liver application', 'membrane', 'biomedical application', 'polyethersulfone hollow fiber', 'hollow fiber', 'graphene oxide', 'nanosheets', 'improved biocompatibility', 'separation performance', 'zeolitic imidazole framework-8 nanoparticles', 'nano particles', 'x-ray diffraction analysis', 'fourier transform infrared analysis', 'fourier transform', 'infrared analysis', 'cell attachment and proliferation', 'hep g2 cells', 'hemocompatibility', 'ultrafiltration coefficient', 'molecular weight cutoff', 'biocompatible material', 'biomedical application', 'improved biocompatibility', 'separation performance']"
35,W2552995700,"# ['transmission electron microscopy', 'electron microscopy', 'micromagnetic simulation', 'polycrystalline nickel nanowire', 'nickel nanowire', 'nanowire', 'electrodeposited nickel', 'dark field image analysis', 'finite element network', 'numerical model', 'nmag', 'coercivity field', 'magnetic remanence', 'magnetic moments reversion']"
36,W916648846,"package = ['bimetallic layered casting', 'alloy steel', 'grey cast iron', 'founding method', 'layer coating', 'mould cavity preparation', 'pearlitic grey cast iron', 'alloy steel', 'x-ray computer tomography', 'computer tomography', 'ct', 'ultrasonic nondestructive testing', 'nondestructive testing', 'ndt', 'solidification simulation', 'novaflow & solid', 'novaflow', 'solid']"
37,W2026938535,"['large-scale production', 'large-scale', 'production', 'ca65mg15zn20 bulk metallic glass sample', 'bulk metallic glass sample', 'metallic glass sample', 'low-pressure die-casting', 'low-pressure', 'die-casting', 'sample dimension', 'repetitive low-pressure die-casting technique', 'low-pressure die-casting technique', 'die-casting technique', 'charge temperature', 'injection pressure', 'fluid velocity', 'mould gate', 'length', 'porosity', 'crystalline phase', 'as-cast sample', 'casting pressure', 'melt temperature', 'highest quality casting']"
38,W1506102058,"['piezoelectric nanowire', 'piezoelectric', 'nanowire', 'energy harvesting application', 'energy harvesting', 'mechanical energy', 'electricity', 'one-dimensional nanomaterial', 'nanomaterial', 'microscale power supply', 'sensor system', 'piezoelectric nanogenerator', 'nanogenerator', 'working mechanism', 'modeling', 'structure design', 'piezoelectric nanogenerator structure']"
39,W2004860548,"# ['physical simulation', 'hot deformation', 'deformation', 'steel', 'aisi 1016', 'gleeble 3800 physical simulator', 'gleeble', 'hot compression test', 'compression test', 'austenitization', 'strain rate', 'microstructural evolution', 'light optical microscopy', 'scanning electron microscopy', 'microstructural evolution', 'ebsd measurement', 'dynamic materials model', 'strain rate sensitivity map', 'flow instability range', 'flow instability', 'flow localization', 'power dissipation efficiency', 'thermal softening', 'adiabatic flow', 'sinh type constitutive equation', 'apparent activation energy', 'plastic deformation', 'dislocation gliding', 'dislocation climbing']"
