id,generated
W3159357308,"['rose petal topography', 'polydimethylsiloxane substrate', 'corneal endothelial cell', 'endothelial cell', 'proliferation capacity', 'transplantable donor tissue', 'in-vitro corneal endothelial cell growth', 'in-vitro growth', 'cell substrate design', 'mechanical topographical and biochemical characteristic', 'white rose petal', 'hexagonal cell shape', 'cell density', 'polydimethylsiloxane substrate', 'collagen iv', 'collagen', 'hyaluronic acid', 'in-vitro cell response', 'monolayer density', 'phenotypic marker expression', 'in-vitro cell substrate property', 'organ-on-chip application', 'microfluidic application', 'drug toxicity investigation']"
W4286436482,"['electromagnetic interference shielding polymer composite', 'shielding polymer composite', 'polymer composite', 'multifunctional polymer', 'attenuation mechanism', 'electromagnetic interference', 'emi shielding', 'shielding polymer', 'structures', 'fabrication method', 'function', 'scientific and technical issue', 'scientific issue', 'technical issue', 'polymer-based emi shielding material', 'polymer', 'electronic device', 'wireless communication', 'electromagnetic pollution', 'electronic appliance', 'human health', 'shielding material', 'multi-function', 'complex application context', 'polymer-based emi shielding', 'shielding property']"
W2068097903,"['local strain', 'local temperature', 'adiabatic shear band formation', 'shear band formation', 'steel', 'low carbon cold-rolled steel', 'cold-rolled steel', 'martensitic steel', 'hyr-100', 'aisi 4340 var steel', 'var steel', 'torsional kolsky bar', 'torsional split hopkinson bar', 'hopkinson bar', 'ultrahigh-speed photography', 'photography', 'grid pattern', 'molinari-clifton prediction', 'molinari and clifton', 'journal of applied mechanics', 'strain initiation', 'local strain rate', 'high-speed infrared detector', 'infrared detector', 'temperature measurement', 'temperature']"
W2100392300,"['convection stream', 'macrosegregation', 'dendritic solidification defect', 'solidification defect', 'casting process', 'aluminium cast ingot', 'metallographic examination', 'mathematical modelling', 'solidification model', 'two-dimensional mathematical model', 'fluid flow', 'heat transfer', 'natural convection stream', 'thermal field', 'macro-segregation distribution', 'dendritic solid movement', 'mushy permeability', 'solidification defect occurrence']"
W2558001182,"['in situ modification', 'ex situ modification', 'bacterial cellulose', 'tissue engineering', 'tissue scaffold', 'cellulose nanofiber network', 'nanofiber network', 'mechanical property', 'biocompatibility', 'porous structure', 'cellulose', 'scaffold', 'in situ modification during cell culture', 'ex situ modification of microfibers', 'microfibers', 'cell culture']"
W2921616013,"['pour point depressant', 'viscosity reducer', 'crude oil production', 'pipeline transportation', 'long-distance pipeline transportation', 'china', 'oil-soluble viscosity reducer', 'water-soluble viscosity reducer', 'wellbore lift', 'low-viscosity heavy oil well', 'high-viscosity heavy oil well', 'heavy oil formation']"
W2782369092,"['high temperature', 'properties of glass concrete', 'glass concrete', 'glass fibers', 'cement weight', 'compressive strength', 'bending strength', 'residual compressive strength', 'thermal conductivity', 'heating', 'concrete', 'glass fiber addition', 'compressive strength at room temperature', 'bending strength at room temperature', 'loss of concrete strength under high temperature effect', 'high temperature effect', 'thermal conductivity reduction', 'heating effect', 'concrete']"
W1986180785,"['polymeric nanostructure', 'metallic nanostructure', 'nanostructure', 'template-based deposition method', 'deposition method', 'arrays of micro- and nanoscopic ag and au tubes', 'arrays', 'micro-tubes', 'nanoscopic tubes', 'thicknesses', 'electroless deposition', 'deposition', 'polycarbonate particle track-etched membrane', 'particle track-etched membrane', 'membrane']"
W2029221166,"['lifetime limiting reaction', 'lifetime limiting reaction', 'catalyst increase', 'particle size', 'catalyst dissolution', 'oxidation', 'carbon catalyst support', 'catalyst deactivation', 'contaminant', 'membrane degradation', 'membrane humidification', 'membrane resistance', 'corrosion', 'structural component', 'metallic bipolar plate', 'bipolar plate']"
W1964479561,"['hydrothermal preparation', 'nanocarbonated hydroxyapatite', 'nanocarbonated hydroxyapatite crystallite', 'needle-like nanocarbonated hydroxyapatite', 'needle-like powder', 'hydrothermal method', 'ca(no3)2', 'nh43po4', 'urea', 'element analyse', 'x-ray diffraction', 'xrd', 'fourier transform infrared spectroscopy', 'ftir', 'transmission electron microscopy', 'tem', 'thermogravimetry', 'differential thermogravimetry', 'thermogravimetry', 'differential thermogravimetry', 'carbonate content', 'urine concentration', 'morphology', 'crystal grain', 'lattice parameter', 'crystallisation degree', 'stable']"
W2026445840,"['infrared study', 'superconducting diamond', 'diamond', 'heavily doped diamond', 'boron doping', 'diamond films', 'critical temperatures', 'superconducting', 'radiation sources', 'coherent synchrotron radiation', 'radiation', 'eli-ashberg spectral function', 'eli-ashberg', 'electron-phonon interaction', 'phonon', 'optical superconducting gap']"
W2063178651,"['atomistic model', 'slip formation', 'two-dimensional triangular lattice', 'triangular lattice', 'two-dimensional slab', 'slab', 'uniaxial load', 'incremental elongation', 'elongation', 'equilibration', 'static method', 'elastic behavior', 'plastic deformation', 'plastic', 'lattices with point defects', 'point defects', 'defects movement', 'vacancies', 'trigger plastic deformation']"
W3019456745,"['creep behavior', 'high temperature', 'low stress', 'single crystal superalloy', 'superalloy', 'dd5', 'microstructure evolution', 'precipitate-dislocation interaction mode', 'creep test', 'rafted microstructure', 'topological inverted microstructure', 'dense interfacial dislocation network', 'dislocation network', 'strengthening mechanism', 'climbing over rafted precipitates', 'raised ridge', 'creep acceleration', 'creep properties', 'horizontal channel', 'degraded back stress', 'cutting through rafted precipitates', 'microstructure characteristic', 'physical property']"
W4206057596,"['stress state', 'coating', 'plasma spraying', 'spraying', 'high-temperature gas jet', 'high-temperature gas', 'gas jet', 'subtstrate', 'thermal treatment', 'deposited materials', 'thermal spray coatings', 'wear reduction', 'machine part', 'corrosion protection', 'thermal damage protection', 'material structure', 'application method', 'coating formation mechanism', 'technology implementation', 'process formation', 'wear-resistant composite coatings', 'solid lubricant inclusion', 'lubricant inclusion', 'protective coating', 'coating optimization']"
W2155948462,"['p-agcoo2/n-zno heterojunction diode', 'p-agcoo2', 'n-zno', 'heterojunction diode', 'rf magnetron sputtering', 'magnetron sputtering', 'sputtering', 'transparent semiconducting thin film', 'semiconducting thin film', 'x-ray diffraction', 'x-ray', 'pulsed laser deposition', 'pld', 'bulk powder synthesis', 'hydrothermal process', 'optical bandgap', 'transmission', 'semiconducting behavior', 'seebeck coefficient', 'p-type conductivity', 'transparent p-n heterojunction', 'heterojunction', 'glass substrate', 'rf magnetron sputtering', 'sputtering', 'itp', 'n-zno:al thin film', 'thin film']"
W2363531732,"['paving bitumen layer', 'bitumen layer', 'cement road', 'cement concrete road', 'rebuilding road', 'huizhou road', 'huizhou city', 'new design idea', 'new means', 'crack of bitumen layer']"
W2091840032,"['stress induced martensitic transformation', 'stress induced transformation', 'martensitic transformation', 'fe nickel carbon alloy', 'fe nickel carbon', 'nickel carbon', 'carbon', 'austenite', 'texture', 'x-ray diffraction', 'x-ray', 'diffraction', 'first formed martensite variant', 'forming martensite variant', 'stress assistance', 'coupled growth martensite', 'strain energy']"
W2049487095,"['metallurgy', 'mechanical property', 'japanese sword', 'microstructure', 'sharp edge', 'grain size', 'lath martensite', 'microtstructure', 'toughness steel', 'steel', 'carbon content', 'lenticular martensite', 'micocracking', 'bending test', 'sword specimen', 'bending strength', 'high performance tool steel', 'crack propagation', 'microstructure distribution', 'grain size in cross section']"
W2525575275,"['non-linear ionic transport', 'ionic transport', 'microstructured solid electrolyte', 'solid electrolyte', 'homogenization estimate', 'homogenization', 'lithium perchlorate', 'lithium iodide', 'lithium salt', 'poly-ethylene-oxide', 'peo', 'electric field', 'ion jump', 'coordination site', 'polymeric chain', 'hopping mechanism', 'weakly non-linear relation', 'non-linear relation', 'electrochemical stability window', 'electrochemical stability', 'multi-scale approach', 'diffusion', 'migration', 'strong electric field', 'convex energy', 'dissipation potential', 'effective response', 'non-linear heterogeneous conductor', 'linear comparison homogenization technique', 'maxwell-garnett linear approximation', 'effective-medium linear approximation', 'two-phase system', 'power-law dissipation', 'dilute limit', 'electrochemical stability assessment']"
W3019920743,"['plant-mediated synthesis', 'dual-functional eggshell/ag nanocomposite', 'nanocomposite', 'catalysis', 'antibacterial application', 'water pollution', 'nanomaterial synthesis', 'waste eggshell', 'cacumen platycladi extract', 'extract', 'reducing agent', 'stabilizing agent', 'aqueous solution', 'room temperature', 'biogenic stabilized ag nanoparticle', 'organic catalytic degradation', 'bacterial growth inhibition', 'reduction efficiency', 'rapid room temperature reduction', 'inhibition zone', 'staphylococcus aureus', 'escherichia coli', 'minimum inhibition concentration', 'minimum bactericidal concentration', 'biogenic eggshell/ag nanocomposite', 'application', 'biomedicine', 'environment', 'energy']"
W2018296663,"['magnetic property', 'transport property', 'graphene', 'titanium atom', 'titanium cluster', 'atomic structure', 'density functional theory', 'nonequilibrium greens function formalism', 'greens function formalism', 'ti adsorption', 'pristine graphene surface', 'surface interaction', 'electronic property', 'spin polarization', 'spin polarized behavior', 'transport property', 'bias voltage', 'metal-graphene composite', 'cluster absorption', 'nanoelectrode', 'magnetic sensor']"
W2905906149,"['advanced titanium aluminide', 'titanium aluminide', 'creep resistance', 'compositional optimization', 'microstructural optimization', 'intermetallic ti-al alloy', 'intermetallic', 'light-weight high-temperature material', 'light-weight', 'high-temperature', 'aero-engine', 'turbocharger system', 'racing car', 'mechanical property', 'ductility', 'creep strength', 'hot-deformability', 'tnm alloy', 'ti-43.5al-4nb-1mo-0.1b', 'at%', 'aero-engine', 'medium-range aircraft', 'failure strain', 'creep strength', 'microstructural parameter', 'spatial arrangement', 'microstructural constituent']"
W2001580316,"['glass forming ability', 'bulk metallic glass', 'metallic glass', 'zr based bulk metallic glass', 'zr', 'bulk metallic glass', 'thermal parameter', 'tnb-based alloy', 'tnb-based', 'alloy', 'glass transition temperature', 'crystallisation temperature', 'offset melting temperature', 'differential temperature analysis', 'ta', 'c', 'glass forming ability', 'undercooled temperature', 'reduced glass transition temperature', 'glass transition']"
W3038759139,"['collecting finely-dispersed particles', 'collecting particles', 'gas flow', 'centrifugal separator', 'coaxially arranged pipes', 'pipes', 'dedusting gas flow', 'finely dispersed particles', '10 m', 'centrifugal force', 'swirled flow', 'simulation', 'ansys fluent', 'software package', 'dedusting process', 'numerical simulation', 'gas flow dedusting', 'exponential function', 'pressure loss']"
W2026213376,"['microstructure', 'magnetic properties', 'anisotropic ndfeb magnets', 'anisotropic magnets', 'spark plasma sintering technique', 'spark plasma sintering', 'hot pressing', 'hot deforming', 'melt-spun ribbons', 'spark plasma sintering technique', 'sps', 'grain morphology', 'nd-rich intergranular phase distribution', 'magnetic property', 'hot pressing magnet', 'hot deforming magnet', 'randomly oriented nd2fe14b grains', 'platelet shaped nd2fe14b grains', 'triple junction', 'coercive force', 'maximum energy product', 'energy product']"
W2911564746,"['grain boundary engineering', 'stress corrosion cracking', 'scc', '304 stainless steel', 'stainless steel', 'strain tension tension', 'annealing', 'electron backscattered diffraction', 'diffraction', 'cracking resistance']"
W2793824752,"['oxygen iron conductivity', 'oxygen conductivity', 'iron conductivity', 'socf electrolyte', 'solid oxide fuel cell', 'fuel cell', 'yttria-stabilised zirconia', 'molecular dynamic simulation', 'simulation', 'electrolyte', 'oxygen ion conductivity', 'doping', 'working temperature', 'molecular dynamic modelling', 'doping proportion', 'ocsson vacancy concentration', 'vacancy concentration', 'enhanced oxygen conductivity']"
W3201004049,"['discontinuous dynamic recrystallization', 'dynamic recrystallization', 'recrystallization', 'second phase particle', 'magnesium alloy', 'phase field method', 'drx nucleation', 'nucleation', 'particle stimulated nucleation', 'psn', 'pre-existing second phase particle', 'particle stimulated nucleation mechanism', 'particle stimulated nucleation', 'pinning effect', 'strain-induced grain boundary migration', 'grain boundary migration', 'microstructure evolution', 'phase field model', 'dislocation density evolution', 'nucleation position', 'flow behavior', 'az80 magnesium alloy', 'magnesium alloy', 'particle size', 'round particle', 'drx kinetic', 'particle dispersion', 'nucleation suppression', 'pinning effect', 'second phase particles', 'uniform grain structure']"
W2080753171,"['interstitial carbon', 'plastic deformation', 'steel', 'nanoindentation', 'pop-in behavior', 'plastic deformation initiation', 'interstitial free steel', 'ultra low carbon steel', 'interstitial carbon content', 'loading rate', 'thermal activation process', 'friction stress', 'dislocation movement', 'dislocation source formation', 'indenter']"
W2070948759,"['superalloy', 'high-temperature alloy', 'non-gas-turbine application', 'gas-turbine application', 'turbine', 'industrial environment', 'ferritic steel', 'nickel-base material', 'oxide dispersion strengthened powder alloy', 'powder alloy', 'mechanical alloying', 'ma process', 'ma technique', 'fabricated ma component', 'strength', 'corrosion resistance', 'process improvement']"
W1964502401,"['mechanical property', 'microstructure', 'severely plastic deformed pure titanium', 'pure titanium', 'plastic deformation', 'mechanical milling', 'spark plasma sintering', 'sintering', 'stearic acid', 'vibrational ball mill', 'mmed powder', 'bulk material', 'hardness', 'constituent phase', 'microhardness measurement', 'x-ray diffraction', 'x-ray', 'diffraction', 'hardness measurement', 'optical microscopy', 'vickers microhardness', 'mach mechanical milling', 'spark plasma sintering', 'sps', 'hardness', 'solid-state reaction product', 'state reaction product', 'near full density', 'sintering temperature', 'vickers hardness', 'hardness value', 'mechanical milling with stearic acid', 'mm with stearic acid']"
W3131808748,"['cuo-cdo34 nanocomposite film', 'cuo-cdo34', 'nanocomposite film', 'optical application', 'dielectric application', 'transition metal oxide', 'sol-gel synthesis', 'polymethyl methacrylate', 'pmma', 'solution casting method', 'x-ray diffraction', 'xrd', 'high resolution transmission electron microscopy', 'hr-tem', 'electron microscopy', 'amorphous nature', 'fourier-transform infrared spectroscopy', 'ftir', 'spectroscopic technique', 'optical bandgap', 'transparency', 'dielectric constant', 'ac conductivity', 'argand plot', 'dielectric modulus']"
W2040115318,"['structure evolution', 'ultrasonic peening', 'corrosion behavior', 'aisi-321 stainless steel', 'stainless steel', 'nanocrystalline surface layer', 'nanocrystalline', 'severe plastic deformation', 'plastic deformation', 'ultrasound peening', 'peening', 'microstructural evolution', 'x-ray diffraction', 'x-ray', 'transmission electron microscopy', 'electron microscopy', 'martensite formation', 'austenitic structure', 'grain refinement', 'nanocrystalline grain size', 'strain-induced martensite transformation', 'martensite', 'austenite', 'corrosion performance', '3.5% nacl solution', 'sodium chloride', 'cloride']"
W1903839732,"['perovskite nano-ferroelectric', 'perovskite', 'nano-ferroelectric', 'multiferroic', 'kinetically-limited system', 'quantum critical point', 'ferroelectric', 'density functional theory', 'landau free energy', 'landau-kittel relationship', 'landau-kittel', 'apertal boundary condition', 'aperal boundary condition']"
W2380790486,"['grafted copolymer', 'copolymer', 'pp-g-an', 'high pressure solution polymerization', 'solution polymerization', 'dimethyl benzene', 'dimethyl benzene solvent', 'solvent', 'dcp initiator', 'initiator', 'polymerization graft degree', 'polymerization', 'ft-ir']"
W3038057804,"['b4c-al2o3', 'wear behavior', 'al-alloy', 'metal matrix composite', 'hybrid metal matrix composite', 'liquid metallurgy', 'wear testing apparatus', 'wear testing', 'response surface methodology', 'response surface methodology method', 'regression equation', 'wear rate', 'sliding distance', 'sliding velocity', 'worn-out surface', 'surface characterization', 'sem']"
W2921330107,"['mechanical property', 'fracture', 'in-situ al3ti particulate reinforced a356 composites', 'in-situ', 'particulate reinforcement', 'particulate', 'a356 composites', 'microstructure', 't6 heat treatment', 'strontium addition', 'strontium sr addition', 'si particle', 'energy dispersive x-ray spectroscopy', 'x-ray spectroscopy', 'eds', 'al-si3ti phase', 'solutionization', 'tensile strength', 'tensile', 'ductility', 'microscale damage evolution', 'microscale damage', 'damage evolution', 'fractography']"
W2057105241,"['normally-off 1400v/30a 4hsc dacfet', '1400v/30a 4hsc dacfet', 'dacfet', 'dc-dc converter', 'dc-dc', 'converter', 'sic dacfet', 'sic', 'avalanche breakdown voltage', 'breakdown voltage', 'normally-off characteristics', 'ron', 'specific ron', 'ron and specific ron', 'switched-mode power-conversion circuit', 'power-conversion circuit', 'switching', 'turn-off switching loss', 'switching loss', 'siic dacfet', 'siic', 'igbt', 'sic igbt']"
W2339187716,"['source-gating effect', 'hydrothermally grown zno nanowire', 'nanowire', 'transistor', 'zno', 'nanowire source-gated field-effect transistor', 'field-effect transistor', 'fet', 'nanowire source-gated transistor', 'source-gated transistor', 'doping', 'thermal annealing', 'ambient air', 'au source-drain contact', 'ohmic contact', 'drain current-voltage saturation', 'saturation', 'gate voltage', 'current modulation', 'image force barrier lowering', 'barrier lowering', 'high internal electric field', 'electric field', 'schottky barrier height', 'schottky', 'barrier lowering', 'activation energy measurement']"
W2001544080,"['densification', '316l stainless steel', 'stainless steel', 'filters', 'pore size distribution', 'pore size', 'densification model', 'grain size', 'density', 'sintering condition', 'austenitic alloy', 'austenitic']"
W2325204212,"['low cycle fatigue life', 'fatigue life', 'ceramic-sprayed crmo steel', 'ceramic sprayed steel', 'elevated temperature', 'fatigue property', 'fatigue-fracture', 'fatigue life', 'crack initiation', 'crack', 'strain range', 'fatigue-fracture process', 'fatigue crack', 'fatigue process', 'surface crack initiation', 'subsurface crack initiation', 'metal layer', 'progressive growth', 'fatigue crack propagation', 'ceramic layer', 'coated steel']"
W2015429769,"['epoxy resin', 'multi walled carbon nanotube', 'carbon nanotube', 'camphor', 'sonication', 'mechanical property', 'tension test', 'dynamic mechanical analysis', 'tensile strength', 'elastic modulus', 'storage modulus', 'loss modulus', 'tan']"
W3092283652,"['retraction notice', 'effect of sintering temperature', 'sintering temperature', 'photocatalytic activity', 'cadmium monoxide', 'cadmium titanate', 'thin solid films', 'sol-gel technique', 'mater. sci. semicond. process', 'material science', 'semiconductor process', 'sol-gel', 'plagiarism', 'journal of advanced oxidation technologies', 'oxidation technology', 'published paper', 'scientific publishing system', 'abuse', 'withdrawal']"
W2349765506,"['preparation', 'characterization', 'carbon nano tubes', 'oxygen electrode material', 'pemfc', 'proton exchange membrane fuel cell', 'pem', 'fuel cell', 'electrocatalyst support material', 'surficial structures', 'pt/cnts', 'pt/c', 'mesoporous structures', 'pt metal granules dispersion', 'catalyst preparation', 'support treated with hno3', 'hno3', 'porous structure']"
W2052887316,"['dislocation arrangement formation mechanism', 'dislocation arrangement', 'cyclic deformation', 'fcc single crystal', 'face-centered cubic fcc', 'face-centered cubic', 'copper', 'nickel', 'silver', 'copper-aluminium alloy', 'copper-aluminium', 'copper-zinc alloy', 'copper-zinc', 'stacking fault energy', 'short-range order', 'friction stress', 'cross slip', 'slip mode', 'pure metals', 'alloy single crystals', 'antiphase boundary energy', 'cyclic deformation behavior', 'fatigue damage', 'metallic material', 'fatigue damage improvement']"
W2356055775,"['fatigue properties', 'electron beam welding', 'welding', 'tc4 titanium alloy', 'tc4', 'metallurgical structure', 'pore', 'cold crack', 'stress concentration source', 'crack-root', 'fracture surface', 'fatigue striation', 'striation spacing', 'fatigue crack propagation resistance', 'acicular martensite', 'coarse acicular martensite', 'tough transgranular fracture', 'transgranular fracture', 'titanium alloy', 'electron beam']"
W2032657909,"['thin slab direct rolling', 'microalloyed steels', 'microalloy', 'steel', 'thermomechanical treatment', 'metallurgical peculiarity', 'processing aspect', 'homogeneous microstructure', 'strength', 'toughness', 'application']"
W2026883336,"['thermostimulated luminescence property', 'luminescence property', 'calso4:dy', 'calso4:tm', 'phosphor', 'pre-irradiation annealing', 'irradiation annealing', 'annealing', 'dosimetric thermostimulated luminescence peak', 'dosimetric', 'thermostimulated luminescence', 'tl peak', 'sintering', 'photo-transfer study', 'photo-transfer', 'electron release', 'hole release', 'low temperature tl peak', 'photostimulation']"
W2811492523,"['energy efficiency', 'accumulation wall', 'transparent insulation', 'solar wall', 'insulation', 'numerical model', 'simulation', 'energy efficiency evaluation', 'climatic condition', 'irradiation', 'heating period', 'temperature distribution', 'energy balance']"
W2916199555,"['doping titanium dioxide', 'titanium dioxide', 'fluoride ion', 'anatase', 'rutile transformation', 'photocatalytic material', 'ceramic', 'tribo-chemical property', 'self-cleaning coating', 'self-sterilizing coating', 'anatase form', 'photocatalytic', 'rutile transformation', 'tribo-chemical property', 'self-cleaning coating', 'self-sterilizing coating', 'fluorine ion', 'sol-gel method', 'hydrofluoric acid', 'thermodynamic data', 'experiment', 'temperature', 'anatase to rutile transformation', 'x-ray diffraction', 'tga', 'x-ray diffraction', 'tga']"
W1988063163,"['accelerated electron beam irradiation', 'electron beam irradiation', 'surface hardening', 'fatigue properties', 'automotive crankshaft', 'crankshaft', 'aisi 4140 steel', '4140 steel', 'steel', 'microstructure hardness', 'fatigue properties improvement', 'electron beam accelerator', 'beam power', 'beam current', 'unirradiated microstructure', 'band structure', 'carbon-rich zone', 'carbon-depleted zone', 'microstructural modification', 'surface hardness improvement', 'martensite transformation', 'heat input during irradiation', 'electron beam irradiation', 'simulation', 'computer simulation', 'thermal analysis', 'computer simulation', 'accelerated electron beam irradiation', 'irradiation', 'surface hardening process', 'rapidly rotating specimen', 'specimen', 'thermal cycle', 'computer simulation']"
W2907024145,"['dynamic mechanical property', 'selective laser melted ti-6al-4v alloy', 'ti-6al-4v alloy', 'laser melted', 'high strain rate tensile loading', 'tensile loading', 'mechanical property', 'static/quasi-static loading', 'selective laser melted', 'heat-treated counterpart', 'microstructure transformation', 'full fine acicular', 'basket-weave morphology', 'coarsened + lamella', 'grain boundary', 'globularization', 'phase transformation', 'dislocation density increase', 'elastic deformation region', 'strain concentration', 'fracture', 'microstructure-dynamic property relationship', 'exploiting performance potential', 'slmed alloy']"
W2051614314,"['creep-aging', 'precipitate', '7075 aluminum alloy', 'aluminum alloy', 'elevated temperature', 'uniaxial tensile creep', 'tensile creep', 'elevated temperature', 'scanning electron microscope', 'transmission electron microscope', 'electron microscope', 'microscopy', 'coarse insoluble precipitate', 'insoluble precipitate', 'intermediate precipitate', 'al18mgr2', 'al3zr', 'aging precipitate', 'main aging precipitate', 'stress-free aged sample', 'microstructure']"
W1979830322,"['chain microstructure effect', 'thermal property', 'polyl-lactide', 'poly-lactide', 'poly-n-isopropylacrylamide', 'biomedical material', 'thermally-sensitive poly-n-isopropylacrylamide', 'pnipaam', 'biocompatible biodegradable', 'blend', 'differential scanning calorimetry', 'calorimetry', 'thermogravimetric analysis', 'calorimetric', 'fourier transform infrared spectroscopy', 'infrared spectroscopy', 'scanning electron microscopy', 'electron microscopy', 'wide angle x-ray diffraction', 'x-ray diffraction', 'x-ray', 'chain microstructure', 'homopolymer', 'ring opening polymerization', 'redox polymerization', 'nucleating agent behavior', 'crystallization', 'autoassociation', 'miscibility', 'thermodegradation process', 'thermal stability', 'n-isopropylacrylamide', 'l-lactide sequence']"
