,id,doi,display_name,publication_date,abstract,concepts,source_id,elements
11444,W1987052465,https://doi.org/10.1016/j.msea.2003.07.014,A study of internal friction in polypropylene (PP) filled with nanometer-scale CaCO3 particles,2004-04-15,"A study of internal friction in polypropylene PP filled with nanometer-scale CaCO3 particles. The internal friction and relative elastic modulus of polypropylene PP filled with nanometer-scale calcium carbonate nm-CaCO3 particles in different contents 0, 4, 7, and 15vol.% are measured in the temperature range with a torsion pendulum. The peak associated with the glass transition and a small peak peak associated with the pre-melting process in crystalline parts of PP was observed around 290 and, respectively. At temperatures lower than, no peaks were observed. With increasing content of nm-CaCO3 particles, the apparent activation energy of the peak decreases, and after passing a minimum of 4.7eV at 4vol.% of nm-CaCO3 , it increases. In contrary to this behavior, the peak temperature has a maximum of at the same filler fraction. Correspondingly, the highest tensile and flexural strength of PP were obtained around this content. These observations may be understood through the influences of fillers on the degree of crystallization of PP and on the mobility of molecules of PP.","[('Torsion pendulum clock', 2, '0.7655982'), ('Materials science', 0, '0.7643484'), ('Polypropylene', 2, '0.7110231'), ('Nanometre', 2, '0.67504805'), ('Composite material', 1, '0.64006853'), ('Calcium carbonate', 2, '0.5703124'), ('Ultimate tensile strength', 2, '0.54539824'), ('Crystallization', 2, '0.50301427'), ('Glass transition', 3, '0.49997663'), ('Elongation', 3, '0.44037032'), ('Flexural strength', 2, '0.42213237'), ('Polymer', 2, '0.18843916'), ('Chemistry', 0, '0.13895077'), ('Physics', 0, '0.0'), ('Organic chemistry', 1, '0.0'), ('Quantum mechanics', 1, '0.0')]",S154732359,"CaCO3,PP"
38306,W4293832828,https://doi.org/10.1016/j.msea.2022.143902,Triple the ductility of as-cast Al–Si alloys by phase-selective recrystallization,2022-10-01,"Triple the ductility of as-cast AlSi alloys by phase-selective recrystallization. Very recently, a method of phase-selective recrystallization has been proposed to significantly increase the ductility of eutectic alloys. Different from the conventional methods, such as adding modifiers and severe plastic deformation, phase-selective recrystallization is a simple way to control the microstructures with selective recrystallization of the soft phase but refining the hard phase. In this paper, we reveal the microstructure evolution in the phase-selective recrystallization treatment of AlSi alloys. The results show that through phase-selective recrystallization, the microstructure of the eutectic Si phase with high degree of spheroidization and fine grains of the -Al matrix can be obtained. Simultaneously, the refined hard Si particles and the soft -Al grains brought the unusual tensile elongation of 24%, triple of that in as-cast state. Meanwhile, the ultimate tensile strength increased from 208 MPa to 291 MPa. The performance of AlSi alloy with phase-selective recrystallization is superior to all previous treatments and can be used to produce high performance AlSi alloy sheet with large scale. High-performance A357 AlSi alloy was simply prepared by cyclic rolling and recrystallization. Cyclic rolling and recrystallization simultanously refined the eutectic Si and -Al matrix. The elongation and strength of A357 AlSi alloy were simultanously enhanced. Cyclic rolling and recrystallization showed great potentical in industrial application.","[('Recrystallization (geology)', 2, '0.82318074'), ('Materials science', 0, '0.68274003'), ('Metallurgy', 1, '0.47866473'), ('Phase (matter)', 2, '0.425246'), ('Ductility (Earth science)', 3, '0.41480765'), ('Geology', 0, '0.10792056'), ('Chemistry', 0, '0.07239273'), ('Petrology', 1, '0.034120858'), ('Creep', 2, '0.0'), ('Organic chemistry', 1, '0.0')]",S154732359,"Al,AlSi,Si"
44655,W2921648464,https://doi.org/10.1016/j.msec.2019.03.049,Mineralization of electrospun gelatin/CaCO3 composites: A new approach for dental applications,2019-07-01,"Mineralization of electrospun gelatin/CaCO3 composites: A new approach for dental applications. Tissue engineered scaffolds are generally used as extra matrices for cellular attachment, migration and proliferation. Irrespective of the desired function, scaffolds should be porous, biocompatible architectures permitting vascularity and act as a hydrophilic mechanical support for the attached cells. Gelatin scaffolds provide exceptional attachment, migration, and proliferation in different tissue regeneration applications. Herein, we introduce a simple but novel method to fabricate new electrospun composite materials for a wide range tissue regeneration, especially bone regeneration. The composites are made of cost-effective gelatin mixed with different concentrations of calcium carbonate CaCO3 in a benign solvent. Smooth nanofibers were successfully obtained at low concentrations of CaCO3, while beaded broken fibers were obtained at high concentrations. To enhance the mechanical properties of the resulted nanofibers, glutaraldehyde GTA vapors were used as crosslinking agents. Different crosslinking time intervals were investigated to improve the stability, with the 20-h-crosslinked mats showed enhanced water resistance, better stability, and increased cell viability. The crosslinked mats showed distinguished mass increase during both swelling and biodegradability tests, especially with the decrease of CaCO3 concentration. The presence of calcium within the mats provides nucleation sites for the growth of CaP structures, leading to mineralization of the mats. In a nutshell, calcified gelatin mats are good candidates for a wide range of tissue regeneration applications.","[('Gelatin', 2, '0.84617805'), ('Glutaraldehyde', 2, '0.6634922'), ('Nanofiber', 2, '0.60628605'), ('Materials science', 0, '0.58959705'), ('Swelling', 2, '0.55401975'), ('Mineralization (soil science)', 3, '0.5496347'), ('Tissue engineering', 2, '0.5159948'), ('Calcium carbonate', 2, '0.5088978'), ('Composite material', 1, '0.48850238'), ('Chemical engineering', 1, '0.4810617'), ('Composite number', 2, '0.4476888'), ('Porosity', 2, '0.44687328'), ('Electrospinning', 3, '0.4406324'), ('Biodegradation', 2, '0.44020745'), ('Biomineralization', 2, '0.41104946'), ('Biomedical engineering', 1, '0.38340074'), ('Chemistry', 0, '0.31480688'), ('Polymer', 2, '0.23141843'), ('Chromatography', 1, '0.069269955'), ('Medicine', 0, '0.0'), ('Biochemistry', 1, '0.0'), ('Organic chemistry', 1, '0.0'), ('Nitrogen', 2, '0.0'), ('Engineering', 0, '0.0')]",S43139658,"CaCO3,CaP"
5817,W2054741310,https://doi.org/10.1016/0921-5093(89)90082-8,Rapid solidification of lightweight metal alloys,1989-09-01,"Rapid solidification of lightweight metal alloys. Rapid solidification RS of the light metals aluminium, magnesium, and titanium can lead to enhanced mechanical properties which can be rationalized in terms of the alloying behavior of these systems. The status of RS alloy exploration for the three lightweight metals is reviewed and suggestions made on possible future directions for alloy development.","[('Materials science', 0, '0.6611253'), ('Metallurgy', 1, '0.5818155'), ('Metal', 2, '0.43180084')]",S154732359,
101926,W4210719805,https://doi.org/10.4028/p-679e24,Features of Casting Magnesium Alloys in Chill Mold,2022-02-03,"Features of Casting Magnesium Alloys in Chill Mold. The article describes the features of the casting process in the chill mold of magnesium alloys. The main factors affecting the quality of the castings obtained are indicated. The main defects of magnesium castings obtained by chill mold casting, as well as possible ways to eliminate them, are revealed. Options for improving the efficiency of the casting process by optimizing the process parameters are proposed, as well as options for heat treatment that increase the physical and mechanical properties of ready-made castings are presented.","[('Mold', 2, '0.8784363'), ('Materials science', 0, '0.8638551'), ('Casting', 2, '0.8332412'), ('Metallurgy', 1, '0.74810815'), ('Magnesium', 2, '0.68846804'), ('Magnesium alloy', 3, '0.44177672'), ('Process (computing)', 2, '0.43517753'), ('Composite material', 1, '0.23108563'), ('Computer science', 0, '0.07930106'), ('Operating system', 1, '0.0')]",S87940674,
151454,W2754835514,https://doi.org/10.1002/pssa.201700414,First Principle Studies of B and P Doped Si Nanocrystals,2018-02-01,"First Principle Studies of B and P Doped SiNanocrystals. The properties of n- and p-doped silicon nanocrystals obtained through ab initio calculations are reviewed here. The aim is the understanding of the effects induced by substitutional doping on the structural, electronic and optical properties of free-standing and matrix-embedded Si nanocrystals. The preferential positioning of the dopants and their effects on the structural properties with respect to the undoped case, as a function of the nanocrystals diameter and termination, are identified through total-energy considerations. The localization of the acceptor and donor related levels in the band gap of the Si nanocrystals, together with the impurity activation energy, are discussed as a function of the nanocrystals size. The dopant induced differences in the optical properties with respect to the undoped case are presented. Finally, the case of B and P co-doped nanocrystals is discussed showing that if carriers are perfectly compensated, the Si nanocrystals undergo a minor structural distortion around the impurities inducing a significant decrease of the impurities formation energies with respect to the single doped case. Due to co-doping, additional peaks are introduced in the absorption spectra, giving rise to a size-dependent red shift of the absorption spectra.","[('Nanocrystal', 2, '0.6092422'), ('Doping', 2, '0.5570016'), ('Materials science', 0, '0.5438644'), ('Nanotechnology', 1, '0.34980989'), ('Optoelectronics', 1, '0.20162788')]",S7159504,"B,P,Si"
63220,W1987584210,https://doi.org/10.4028/www.scientific.net/msf.584-586.673,Strain Rate Sensitivity of 31Mn-3Al-3Si TWIP Steel with Partially Recrystallized Fine Grained Structure,2008-06-01,"Strain Rate Sensitivity of 31Mn-3Al-3Si TWIP Steel with Partially Recrystallized Fine Grained Structure. Strain rate sensitivity of the strength of TWIP Twinning Induced Plasticity steel with the mixture of recrystallized fine grains and rolling-deformation microstructures was studied. The 31mass%Mn-3%Al-3%Si TWIP steel sheet was severely cold-rolled to a reduction of 92% and subsequently annealed at various temperatures ranging from to in order to obtain the partial recrystallized microstructure with various fraction of recrystallized microstructure. The annealed specimen keeps similar morphologies as observed in the as-rolled structure consisting of both the fine lamellar dislocation cell structure and the twin/matrix lamellar structure; whereas, in the specimen annealed at or , the partially recrystallized fine grains d~1m with a few dislocations evolve. The volume fraction of recrystallized fine grains increases with increasing of the annealing temperature while the mean diameter of the recrystallized grains is not changed largely. The tensile deformation behaviors were measured at various strain rates ranging from 10-3sec-1 to 102sec-1. The strength and elongation become smaller and larger, respectively, with increasing the fraction of the recrystallized microstructure. The activation volume of dislocations becomes larger with increasing the fraction of recrystallized microstructure.","[('Twip', 4, '0.98619133'), ('Materials science', 0, '0.92527723'), ('Microstructure', 2, '0.8565403'), ('Volume fraction', 2, '0.692818'), ('Ultimate tensile strength', 2, '0.5738622'), ('Metallurgy', 1, '0.5471595'), ('Lamellar structure', 2, '0.54254943'), ('Annealing (glass)', 2, '0.48904786'), ('Composite material', 1, '0.46963736'), ('Plasticity', 2, '0.46230355'), ('Elongation', 3, '0.43974125'), ('Crystal twinning', 3, '0.41307342')]",S87940674,"Al,Mn,Si"
59347,W2003050392,https://doi.org/10.4028/www.scientific.net/msf.534-536.1005,Synthesis and Properties of Open-Celled Metal Foams,2007-01-01,"Synthesis and Properties of Open-Celled Metal Foams. Open-celled metal foams were synthesized using a replication technique. Therefore a reticulated polyurethane template was coated by a slurry and removed thermally, followed by a sintering step. Since the process is feasible for a multiplicity of metals the experiments were performed on the example of stainless steel 316L. Highly porous components were obtained showing adjustable densities between 0.3 and 2.0 g/cm. The cell structure is exceedingly homogeneous and the cell sizes may be chosen in the range of 10 80 ppi. In order to characterise the properties, compression tests and acoustical tests were carried out. A significant influence of the density and the cell size on the acoustical and mechanical properties was noticed.","[('Materials science', 0, '0.9195463'), ('Sintering', 2, '0.7229266'), ('Slurry', 2, '0.69665265'), ('Metal foam', 3, '0.6690674'), ('Homogeneous', 2, '0.6073814'), ('Porosity', 2, '0.6026603'), ('Metal', 2, '0.5883007'), ('Composite material', 1, '0.57302773'), ('Polyurethane', 2, '0.52828056'), ('Metallurgy', 1, '0.3073225'), ('Physics', 0, '0.0'), ('Thermodynamics', 1, '0.0')]",S87940674,
186306,W2236282251,https://doi.org/10.1051/matecconf/20163803001,Effects of Hybrid Fibre Reinforcement on Fire Resistance Performance and Char Morphology of Intumescent Coating,2016-01-01,"Effects of Hybrid Fibre Reinforcement on Fire Resistance Performance and Char Morphology of Intumescent Coating. Recent researches of fire retardant intumescent coatings reinforced by single Rockwool and single glass wool fibre at various weight percentages and lengths showed some improvements to the mechanical properties of the coatings and the char produced. Therefore, in this research the fibres were combined together in intumescent coating formulation at several weight percentages and fibre lengths to study their effects towards fire resistance performance and char morphology. The hybrid fibre reinforced intumescent coatings were subjected to two types of fire tests; Bunsen burner at and the electric furnace at for 1 hour, respectively. Steel temperature of the coated samples during Bunsen burner test was recorded to determine the fire resistance performance. Thermal stability of the intumescent coatings and chars was determined by Thermogravimetric Analysis TGA. The morphology of the coatings and char was then examined by using Scanning Electron Microscopy SEM and Energy Dispersive Spectrometry EDS was conducted to obtain elemental composition of the samples. This research concluded that long-hybrid fibre at 12-mm length and 0.6% fibre-weight produced the top performing hybrid fibre intumescent formulation. The hybrid fibres form survived at elevated temperature, hence helped to provide structure and strengthen the char with the highest fire resistance was recorded at steel temperature of.","[('Intumescent', 3, '0.93979836'), ('Char', 3, '0.7851645'), ('Coating', 2, '0.7258153'), ('Reinforcement', 2, '0.7071832'), ('Materials science', 0, '0.658357'), ('Composite material', 1, '0.64229465'), ('Morphology (biology)', 2, '0.5861655'), ('Fire resistance', 2, '0.57063675'), ('Engineering', 0, '0.11558521'), ('Chemical engineering', 1, '0.11557111'), ('Biology', 0, '0.06464359'), ('Pyrolysis', 2, '0.0546602'), ('Genetics', 1, '0.0')]",S4210175061,
118859,W2031412810,https://doi.org/10.1016/s0921-5107(98)00485-1,Equilibrium crystal shapes for 6H AND 4H SiC grown on non-planar substrates,1999-07-30,"Equilibrium crystal shapes for 6H AND 4HSiC grown on non-planar substrates. Growth of 6H and 4HSiC has been performed on Si-face substrates with etched stripe mesas under low supersaturation conditions which is obtained by keeping the C:Si ratio in the gas phase low at the two different growth temperatures of 1480 and. The growth around the mesas was investigated by scanning electron microscopy and the facets which appear around the mesas could be identified as low index lattice planes. The difference in growth rate between these lattice planes was found to be less than 25%. Modified polar Wulff plots are used to illustrate the growth rate in the different lattice directions, and could also be used to predict the growth habit for different geometries.expected, the average growth rate is larger on the {11 2 n} than on the {1 1 0n} planes, but slow and fast growing planes exist for both sets of planes. Generally the growth rate is larger for planes with high n, and for the {1 1 0n} planes it is found that a slow growth rate could be correlated with a larger percentage of C ad-atoms to the plane. At the lower growth temperature a larger difference in growth rate between the fast and slow growing planes could be observed, probably due to a larger influence of the surface energies under these conditions.","[('Planar', 2, '0.7758923'), ('Materials science', 0, '0.6166964'), ('Crystal (programming language)', 2, '0.50768316'), ('Crystallography', 1, '0.43978167'), ('Optoelectronics', 1, '0.35758287'), ('Chemistry', 0, '0.21282306'), ('Computer science', 0, '0.18900964'), ('Computer graphics (images)', 1, '0.112974584'), ('Programming language', 1, '0.0')]",S4210190818,"H,HSiC,Si"
4513,W2062432702,https://doi.org/10.1016/s0921-5093(01)01575-1,Mechanical properties of Mo5SiB2 single crystals,2002-06-01,"Mechanical properties of Mo5SiB2 single crystals. Mo5SiB2 is a new refractory metal silicide with great potential for ultra-high temperature structural applications. We succeeded to grow high purity single crystals of Mo5SiB2 using an optical floating zone method. Single-crystal elastic constants at room temperature RT of the silicide were measured. Mo5SiB2 has less anisotropic single crystal elastic moduli and a lower shear modulus and a lower Debye temperature than MoSi2 . Mo5SiB2 has a slightly higher bulk, shear, Young's moduli and Debye temperature than Mo5Si3 . Mo5SiB2 has a RT Vickers hardness of around 18 GPa, which is much larger than those of Mo5Si3 and MoSi2 . Fracture toughness around 2 Mpam is comparable to those of Mo5Si3 and MoSi2 . Compression tests were performed at. Slip was observed on 001010 for 021 orientation. However, slip on 100001, which has been reported to be activated, was not observed. Mechanical properties of Mo5SiB2 single crystals are discussed in relation to the complex crystal structure of Mo5SiB2 .","[('Materials science', 0, '0.81238216'), ('Debye model', 2, '0.7126173'), ('Single crystal', 2, '0.5752262'), ('Vickers hardness test', 3, '0.56374764'), ('Anisotropy', 2, '0.5505571'), ('Shear (geology)', 2, '0.54557633'), ('Shear modulus', 2, '0.49930882'), ('Elastic modulus', 2, '0.474221'), ('Composite material', 1, '0.4650392'), ('Crystallography', 1, '0.4161741'), ('Metal', 2, '0.41231245'), ('Metallurgy', 1, '0.27004144'), ('Condensed matter physics', 1, '0.2236793'), ('Microstructure', 2, '0.116025776'), ('Chemistry', 0, '0.08660856'), ('Optics', 1, '0.07563001'), ('Physics', 0, '0.0')]",S154732359,"Mo5Si3,Mo5SiB2,MoSi2"
35108,W2590574265,https://doi.org/10.1016/j.msea.2017.02.079,Effect of microstructural evolution on deformation behaviour of pre-strained dual-phase steel,2017-03-24,"Effect of microstructural evolution on deformation behaviour of pre-strained dual-phase steel. The influence of microstructural evolution on the strain hardening and non-uniform deformation behaviour of pre-strained ferrite-martensite DP steel was studied using a crystal plasticity finite element method CPFEM. The material parameters in the CPFEM were identified through a systematic procedure by fitting models to the experimental results of micro-tensile tests. The CPFEM with the identified parameters were applied to the analysis of virtual models with focus on the microstructural factors such as the angle of interphase boundary, the orientation of habit plane in the martensite phase, and the intensity of texture in the ultrafine-grained ferrite phase developed in the severely-deformed sample. The analysis results suggested the following influences of microstructural factors on the deformation behaviour. The formation of deformation bands in the ferrite phase depends on the configuration of the interphase boundary, the orientation of the habit plane in neighbouring martensite phase and the intensity of texture in the ferrite phase. The suppressions of the deformation bands by controlling microstructure could contribute to later onset of necking and resultant higher strain hardening.","[('Materials science', 0, '0.72341955'), ('Dual (grammatical number)', 2, '0.61001205'), ('Dual-phase steel', 4, '0.5574237'), ('Deformation (meteorology)', 2, '0.54264295'), ('Phase (matter)', 2, '0.53111035'), ('Metallurgy', 1, '0.41055226'), ('Composite material', 1, '0.40704334'), ('Microstructure', 2, '0.3064324'), ('Chemistry', 0, '0.11428326'), ('Martensite', 3, '0.054432362'), ('Organic chemistry', 1, '0.0'), ('Art', 0, '0.0'), ('Literature', 1, '0.0')]",S154732359,
7308,W2771607639,https://doi.org/10.1016/j.msea.2017.11.125,Correlation of mechanical properties to microstructure in Inconel 718 fabricated by Direct Metal Laser Sintering,2018-01-17,"Correlation of mechanical properties to microstructure in Inconel 718 fabricated by Direct Metal Laser Sintering. Several Additive Manufacturing AM techniques have been developed to produce a wide variety of parts out of several materials. Inconel 718 is of particular interest due to its extensive use in various components in the aerospace, energy and power generation industries. In order to implement parts created from AM, their properties must be adequate to stand up to the demands of service. In this study, the mechanical properties of Metal Laser Sintered MLS Inconel 718 were measured and compared to other AM techniques and conventional methods of producing this material and the effects of precipitate phases on the properties of the alloy are discussed. Four different conditions were compared: 1 Solution and Double Aging HT, 2 Hot Isostatic Pressing HIP + HT, 3 HT + Shot Peening SP, and 4 HIP + HT + SP. The original anisotropic properties arising from the building process are reduced by the thermal treatments. The HT process produced the highest hardness and mechanical properties while the HIP + HT condition produced similar tensile and elongation values but a much lower hardness and yield stress.","[('Inconel', 3, '0.88574123'), ('Microstructure', 2, '0.8433913'), ('Materials science', 0, '0.7632415'), ('Selective laser sintering', 3, '0.67970645'), ('Direct metal laser sintering', 3, '0.6666316'), ('Sintering', 2, '0.6171824'), ('Laser', 2, '0.5178747'), ('Metallurgy', 1, '0.5126466'), ('Metal', 2, '0.46403527'), ('Composite material', 1, '0.38177744'), ('Optics', 1, '0.15580261'), ('Alloy', 2, '0.0'), ('Physics', 0, '0.0')]",S154732359,"HIP,SP"
63945,W2809901940,https://doi.org/10.4028/www.scientific.net/msf.925.118,Revisiting Models for Spheroidal Graphite Growth,2018-06-01,"Revisiting Models for Spheroidal Graphite Growth. Recent experiments resolved nucleation and growth of graphite during solidification of ductile cast iron in 4D using synchrotron X-ray tomography. A numerical model for microstructure formation during solidification is compared with the experiments. Despite very good overall agreement between observations of spheroidal graphite growth and model results, significant deviations exist towards the end of solidification. We use the experimental observations to analyse the relation between graphite growth rate and the state of the particle neighbourhood to pinpoint possible links between growth rate of individual graphite spheres and the overall solidification state. With this insight we revisit existing models for growth of spheroidal graphite and discuss possible modifications in order to correctly describe the critical final stage of solidification.","[('Materials science', 0, '0.8035629'), ('Graphite', 2, '0.7400993'), ('Forensic engineering', 1, '0.3477203'), ('Metallurgy', 1, '0.33959556'), ('Composite material', 1, '0.32650313'), ('Engineering', 0, '0.11321473')]",S87940674,
80478,W2021896609,https://doi.org/10.4028/www.scientific.net/msf.615-617.245,Spatial Profiling of Planar Defects in 4H-SiC Epilayers Using Micro-Photoluminescence Mapping,2009-03-01,"Spatial Profiling of Planar Defects in 4HSiC Epilayers Using Micro-Photoluminescence Mapping. The micro-photoluminescence micro-PL spectroscopy and its intensity mapping have been utilized to investigate the planar defects, stacking faults in 4HSiC epilayers. Strong PL emissions from theare observed even at room temperature. It is found that each kind of SF shows the distinct PL emission behaviours. Three kinds of SFs: intrinsic Frank double Shockley and in-grown have been identified in the samples based on the micro-PL spectra. At the same time, the micro-PL intensity mapping at the emission band of each SF has been performed to spatially profile the The shapes, distributions, and densities ofin the epilayers are then presented. The PL emission behaviours of each SF at low temperature are also studied.","[('Photoluminescence', 2, '0.89550126'), ('Materials science', 0, '0.8784541'), ('Planar', 2, '0.76311326'), ('Stacking', 2, '0.65975183'), ('Optoelectronics', 1, '0.4995427'), ('Spectroscopy', 2, '0.41523343'), ('Emission intensity', 3, '0.41313976'), ('Analytical Chemistry (journal)', 2, '0.3993696'), ('Optics', 1, '0.3357421'), ('Nuclear magnetic resonance', 1, '0.11117351'), ('Chemistry', 0, '0.06096807'), ('Physics', 0, '0.04931587'), ('Computer graphics (images)', 1, '0.0'), ('Quantum mechanics', 1, '0.0'), ('Chromatography', 1, '0.0'), ('Computer science', 0, '0.0')]",S87940674,"HSiC,SF"
110088,W2020678740,https://doi.org/10.1179/1743284713y.0000000445,Characteristics of 2024/3003 aluminium alloys bimetal prepared by direct chill casting,2014-07-03,"Characteristics of 2024/3003/ aluminium alloys bimetal prepared by direct chill casting. A direct chill semicontinuous casting process to prepare 2024/3003/ clad slab has been developed in the present study. Microstructure, solute distribution and bonding strength of the interfacial regions of clad slab were investigated by methods of metallographic examination, electron probe microanalysis and tensile tests. The results show that an excellent metallurgical bonding between the two different alloys can be achieved with optimal parameters. The 3003 alloy, which was poured into the mould earlier, serves as the substrate of heterogeneous nucleation of 2024 alloy. The Cu and Mg atoms diffuse from the 2024 side into the matrix of 3003 side, while Mn atoms diffuse in the opposite direction. The mean tensile strength of clad slab is 118 MPa, and the strength of the interface is higher than that of 3003 alloy.","[('Materials science', 0, '0.91932666'), ('Bimetal', 2, '0.83865976'), ('Ultimate tensile strength', 2, '0.7274768'), ('Alloy', 2, '0.68948716'), ('Microstructure', 2, '0.68137777'), ('Nucleation', 2, '0.66985303'), ('Casting', 2, '0.66811836'), ('Metallurgy', 1, '0.6409998'), ('Aluminium', 2, '0.5961133'), ('Slab', 2, '0.5063287'), ('Substrate (aquarium)', 2, '0.4898524'), ('Composite material', 1, '0.39014724'), ('Chemistry', 0, '0.0'), ('Oceanography', 1, '0.0'), ('Organic chemistry', 1, '0.0'), ('Geophysics', 1, '0.0'), ('Geology', 0, '0.0')]",S82336448,"Cu,Mg,Mn"
12235,W2040406910,https://doi.org/10.1016/j.msea.2006.02.004,The control of crystal orientation in ceramics by imposition of a high magnetic field,2006-04-25,"The control of crystal orientation in ceramics by imposition of a high magnetic field. From the viewpoint of high magnetic field effect, researches on which the crystal orientation of feeble magnetic ceramics was controlled by using a slip casting under a high magnetic field have been carefully reviewed. Both of the reported results and the experimental results obtained by the present authors indicate that gravity force also plays an important role for crystal alignment under a high magnetic field. In this study, by taking account of magnetic susceptibility, powder shape and magnetic field direction, a general rule of crystal alignment during slip casting under a high magnetic field has been derived.","[('Magnetic field', 2, '0.73814976'), ('Materials science', 0, '0.59878725'), ('Slip (aerodynamics)', 2, '0.59398973'), ('Condensed matter physics', 1, '0.5915783'), ('Ceramic', 2, '0.47467422'), ('Magnetic susceptibility', 2, '0.47185895'), ('Crystal (programming language)', 2, '0.46336457'), ('Orientation (vector space)', 2, '0.4525598'), ('Field (mathematics)', 2, '0.4255917'), ('Physics', 0, '0.21878019'), ('Geometry', 1, '0.20773989'), ('Composite material', 1, '0.18924278'), ('Computer science', 0, '0.132996'), ('Mathematics', 0, '0.08720657'), ('Thermodynamics', 1, '0.0860728'), ('Quantum mechanics', 1, '0.0'), ('Programming language', 1, '0.0'), ('Pure mathematics', 1, '0.0')]",S154732359,
45139,W2942575864,https://doi.org/10.1016/j.msec.2019.05.003,Study on a biodegradable antibacterial Fe-Mn-C-Cu alloy as urinary implant material,2019-10-01,"Study on a biodegradable antibacterial FeMnCCu alloy as urinary implant material. Biodegradable Fe based alloys have been investigated for fracture fixation and cardiovascular support to overcome complications of permanent implants. This study was focused on the development of a new FeMnCCu alloy with antibacterial and anti-encrustation properties as a urinary implant material. The microstructure and mechanical properties of the alloy were studied. The degradation behavior, antibacterial and anti-encrustation properties were evaluated by immersion test, antibacterial test and encrustation test, respectively. The results showed that FeMnCCu alloy was a non-magnetic, biodegradable, anti-bacterial and anti-encrustation alloy that could inhibit the biofilm and stone formations on its surface through the dual effects of degradation and Cu ions release. The study revealed the preliminary mechanisms of anti-infection and anti-encrustation for FeMnCCu alloy due to the continuous release of Cu2+ ions, which provides a new idea for application of biodegradable Fe-based material and the treatment of urinary tract infections and stones in the urinary system.","[('Alloy', 2, '0.8334594'), ('Microstructure', 2, '0.60513383'), ('Materials science', 0, '0.52484846'), ('Antibacterial activity', 3, '0.47712043'), ('Metallurgy', 1, '0.46845388'), ('Urinary system', 2, '0.43712837'), ('Nuclear chemistry', 1, '0.4361147'), ('Implant', 2, '0.41894042'), ('Chemistry', 0, '0.29607496'), ('Surgery', 1, '0.1505445'), ('Bacteria', 2, '0.14989775'), ('Medicine', 0, '0.12821218'), ('Internal medicine', 1, '0.080453664'), ('Genetics', 1, '0.0'), ('Biology', 0, '0.0')]",S43139658,"Cu,Cu2+,Fe,FeMnCCu"
137804,W2068210585,https://doi.org/10.1016/j.mssp.2011.05.004,Studying the Raman spectra of Ag doped ZnO films grown by PLD,2011-09-01,"Studying the Raman spectra of Ag doped ZnO films grown by PLD. We prepared Ag doped zinc oxide ZnO:Ag films using pulsed laser deposition method and studied the Raman spectra of the unannealed and annealed films. The results indicate that the ZnO:Ag films could still retain their wurtzite structure; the A 1 LO mode resulting from oxygen vacancies and zinc interstitials was observed to be very strong in the Raman spectra. A local vibrational mode at 493cm 1 induced by Ag doping could also be clearly observed in the Raman spectra, which may be used as an indication of Ag incorporation into the ZnO lattice.","[('Raman spectroscopy', 2, '0.9342949'), ('Wurtzite crystal structure', 3, '0.8948071'), ('Materials science', 0, '0.89260733'), ('Doping', 2, '0.7393765'), ('Zinc', 2, '0.66035354'), ('Pulsed laser deposition', 3, '0.65570146'), ('Spectral line', 2, '0.47943324'), ('Analytical Chemistry (journal)', 2, '0.47851217'), ('Annealing (glass)', 2, '0.45324627'), ('Thin film', 2, '0.3024603'), ('Nanotechnology', 1, '0.28708792'), ('Optoelectronics', 1, '0.19316015'), ('Optics', 1, '0.12902072'), ('Metallurgy', 1, '0.080929995'), ('Chemistry', 0, '0.0'), ('Physics', 0, '0.0'), ('Chromatography', 1, '0.0'), ('Astronomy', 1, '0.0')]",S82126420,"Ag,ZnO"
