id,doi,display_name,publication_date,is_retracted,is_paratext,abstract,concepts
W2064907175,https://doi.org/10.7250/mstct.2014.004,Hemp Made Bio-Composites,2015-03-28,False,False,"Hemp cultivation is one of the possibilities to use agricultural land of Latvia. Mechanical and physical properties of hemp fiber and its chemical structure is suitable for using as a reinforcement, but polypropilene (PP) fibers and PolyLactic Acid (PLA) fibers as a matrix for bio-composites. Compression molding is the most common composite processing technology. Composites with the content of 20 % – 40% of natural fiber could provide optimal mechanical properties. The demand for bio-composites with improved properties will be increasing in the future. Sandwich structure of bio-composite is one of the ways to protect natural fiber from heating degradation.","[('Polylactic acid', 3, '0.7764396'), ('Composite material', 1, '0.77379996'), ('Composite number', 2, '0.65683603'), ('Materials science', 0, '0.65136373'), ('Compression molding', 3, '0.63983536'), ('Natural fiber', 3, '0.61758626'), ('Fiber', 2, '0.58226347'), ('Molding (decorative)', 2, '0.48615643'), ('Polymer', 2, '0.21136498'), ('Mold', 2, '0.06854066')]"
W2078638220,https://doi.org/10.7250/mstct.2013.003,Vascular Implants Reinforced with Natural Silk Yarns,2014-02-06,False,False,"In the course of this research work woven synthetic prosthesis reinforced with natural silk yarns was designed and manufactured. Biomechanical properties of surgical natural silk were studied during designing of the structure of the walls of the prosthesis. The experiment gave good data of elasticity and strain properties in a process of laboratory testing of samples of natural fibers. The previous practical experience was also used, for example, various vascular prostheses made from polyurethane complex yarns and polyester monofilaments. As a result, the authors of the scientific work proposed a combined wall structure of vascular prosthesis, consisting of polyester, polyurethane, and natural silk surgical yarns. After the implantation of the synthetic prosthesis reinforced with natural silk yarns, these natural silk yarns completely dissolve in the body for several years. Living tissue is gradually growing into the walls of synthetic prosthesis, replacing dissolved natural silk yarns. Experimental tests confirmed that a modulus of elasticity of innovative prosthesis is close to modulus of elasticity of natural blood vessels. The innovative structure of blood vessel prosthesis combined with such parameters can provide a long-term normal hemodynamics.","[('SILK', 2, '0.7747301'), ('Prosthesis', 2, '0.71848136'), ('Materials science', 0, '0.7045468'), ('Polyurethane', 2, '0.6819574'), ('Polyester', 2, '0.67122245'), ('Composite material', 1, '0.60267216'), ('Elasticity (physics)', 2, '0.5060753'), (""Young's modulus"", 2, '0.44445267'), ('Modulus', 2, '0.4349736'), ('Biomedical engineering', 1, '0.3645723'), ('Surgery', 1, '0.1351896'), ('Engineering', 0, '0.12236214'), ('Medicine', 0, '0.08105299')]"
W2081953803,https://doi.org/10.7250/mstct.2013.009,The Electrical Properties of Bast Fibre Fabrics Change after Nanoparticles of Metals and their Oxides are Applied,2014-02-06,False,False,"In the paper changes of electrical properties of bast fibre fabrics after deposition of metals and metal oxide nanoparticles have been investigated. Moisture content of samples after storing them in different climatic conditions was determined using the thermogravimetry method. Electrical resistance changes depending on moisture content were investigated using impedance spectorscopy. The analysis of measurements shows that samples with surface treated in plasma attract water better than samples with untreated surface. In turn metal coatings reduce water sorption. The research shows that coatings decrease electrical resistance of samples. Samples stored in normal climatic conditions can be characterized with capacitive/reactive resistance, ie. they have expressed dielectric properties but moist samples in lowfrequency range have ohmic/active resistance, ie. they have expressed electric conductivity properties that turn into dielectric properties in high-frequency range. It can be concluded that electric resistance of bast fibre fabrics is influenced by moisture content in sample and coating material.","[('Materials science', 0, '0.8426398'), ('Bast fibre', 2, '0.7879392'), ('Composite material', 1, '0.6663159'), ('Electrical resistivity and conductivity', 2, '0.6530668'), ('Dielectric', 2, '0.6260835'), ('Water content', 2, '0.61629575'), ('Electrical resistance and conductance', 2, '0.61378783'), ('Moisture', 2, '0.5612183'), ('Coating', 2, '0.48205528'), ('Geotechnical engineering', 1, '0.0'), ('Optoelectronics', 1, '0.0'), ('Electrical engineering', 1, '0.0'), ('Engineering', 0, '0.0')]"
W2270468844,https://doi.org/10.7250/mstct.2014.006,Latvijas Valsts ienemumu dienesta darbinieku apgerba pasvertejums aptauja,2015-03-28,False,False,"Pētījumā atspoguļoti Latvijas Valsts ieņēmumu dienesta darbinieku aptaujas rezultāti, lai noskaidrotu ierēdņu pasreizējo apmierinātības līmeni ar darba formastērpu, tā struktūru un apzinātu lietotāju subjektīvās, komfortu aprakstosās pozitīvās un negatīvās sajūtas, kas rodas, valkājot konkrēto apģērbu noteiktos apstākļos. Veikts ierēdņu formastērpa sastāvdaļu novērtējums un noteikti tā būtiskākie raksturojosie rādītāji. Apkopoti ieteikumi, kas jāievēro, projektējot jaunas uniformas, lai uzlabotu ierēdņu komforta līmeni funkcionālajā apģērbā.","[('Physics', 0, '0.3747346'), ('Humanities', 1, '0.3254747'), ('Theology', 1, '0.32429203'), ('Philosophy', 0, '0.25216475')]"
W2604437435,https://doi.org/10.7250/mstct.2016.001,Short Natural Fibers Reinforced Polyolefin Composites,2016-12-30,False,False,"This article summarizes modification techniques of the most popular polyolefin composite reinforced with short natural fibers based on two interface modification strategies: filler modification and matrix modification by additives. According to analysis of published papers, it can be concluded that the fiber pretreatment does not result in higher improvement of the properties compared with adding coupling agent in the compounding process.","[('Polyolefin', 3, '0.97441953'), ('Composite material', 1, '0.80131567'), ('Materials science', 0, '0.67870164'), ('Natural fiber', 3, '0.46469802'), ('Fiber', 2, '0.2404482'), ('Layer (electronics)', 2, '0.0')]"
W1967580759,https://doi.org/10.7250/mstct.2013.007,Weaving as a Tool for Electrotextile Design,2014-02-06,False,False,"Development of electrotextiles gives opportunities for creation and improvement of new innovative products in different fields related to smart clothes and smart textiles. The use of the weaving method in the electrotextile creation can stimulate a new approach for the intergration of electronic elements into textile and for electronic elements interconnections design in textile structure. During the research 8 samples of woven fabric were constructed in different weaves (plain, twill, satin) with different weft density (50, 100, 140, 160, 200 yarns/10 cm). The aim of this study was to analyze the influence of fabric structural parameters on electrically conductive contact area of fabric and to define appropriate applications. Projecting electro-textile for specific purpose, a proper weave should be chosen which could ensure necessary properties of e-textile. Contact area of conductive yarn depends on fabric’s structural phase too. In the paper yarn position in fabric structure of different weave samples was analyzed and several possible applications were pointed out. The washing test was done to get a denser location of conductive yarns in fabric structure. Several examples were demonstrated for each weave type: plain weave application for covering and insulation of electrotextile interconnections, twill weave application for pressure sensor development and satin weave electrotextile for position monitoring application.","[('Weaving', 2, '0.96786636'), ('Textile', 2, '0.8090919'), ('Yarn', 2, '0.77487165'), ('Woven fabric', 2, '0.7051618'), ('Clothing', 2, '0.7008934'), ('Plain weave', 3, '0.652841'), ('Fabric structure', 2, '0.5732249'), ('Electrical conductor', 2, '0.47580418'), ('Engineering', 0, '0.45804802'), ('Mechanical engineering', 1, '0.4314892'), ('Engineering drawing', 1, '0.41497874'), ('Position (finance)', 2, '0.4133155'), ('Computer science', 0, '0.34064907'), ('Structural engineering', 1, '0.33163637'), ('Composite material', 1, '0.29163748'), ('Materials science', 0, '0.23924205'), ('Electrical engineering', 1, '0.14587656'), ('Archaeology', 1, '0.0'), ('Finance', 1, '0.0'), ('Economics', 0, '0.0'), ('History', 0, '0.0')]"
W1971733979,https://doi.org/10.7250/mstct.2013.011,Performance of Fibreboards Made from Wetpreserved Hemp,2014-02-06,False,False,"Article describes a new type of fiber boards for the furniture production, developed in cooperation with ATB (Leibniz-Institute for Agricultural Engineering) by using a new method to prepare raw materials and specific production technologies of ATB. The main raw materials are aerobically aged hemp stalks. The samples are made of materials with different curing time and varying the binder. Specimens are 8 mm thick and correspond to a medium-density fiberboard, fitting standard EN622. On the experimental processing line 1.200x800x8mm and 1.200x800x16mm size board samples are developed and the tests are performed to determine such parameters as bending strength, perpendicular tensile strength, thickness swelling and thermal conductivity according to EU standard methods. The proposed material the main component of which is the annual renewable resource, hemp stalks, could be used for furniture, interior design and heat isolation.","[('Raw material', 2, '0.739956'), ('Fiberboard', 2, '0.6670163'), ('Materials science', 0, '0.60944855'), ('Curing (chemistry)', 2, '0.5610358'), ('Composite material', 1, '0.5572386'), ('Oriented strand board', 2, '0.54467225'), ('Ultimate tensile strength', 2, '0.49465176'), ('Production line', 2, '0.4843915'), ('Thermal conductivity', 2, '0.43700987'), ('Engineering', 0, '0.32259727'), ('Mechanical engineering', 1, '0.22061309'), ('Chemistry', 0, '0.0'), ('Organic chemistry', 1, '0.0')]"
W1973702434,https://doi.org/10.7250/mstct.2014.011,The Compliance of 3D Scanned Anthropometric Data with a CAD Grafis Measurement Chart,2015-03-28,False,False,"The designing of clothes includes a row of processes and one of the most time and labor consuming is constructing. The construction displays the layout (pattern) of the surface of the body (garment). In order to exclude routine job from the pattern making process CAD Systems are used. To gain a good construction, exact, proper and accurate human body measurements are needed. Measurements acquired by 3D scanning device should be checked out for compliance with CAD systems for automatized pattern making procedure.","[('CAD', 2, '0.7829665'), ('Chart', 2, '0.68565434'), ('Process (computing)', 2, '0.6144719'), ('Engineering drawing', 1, '0.59284455'), ('Computer science', 0, '0.5517235'), ('Clothing', 2, '0.5143086'), ('Engineering', 0, '0.35916394'), ('Artificial intelligence', 1, '0.35482922'), ('Computer vision', 1, '0.32613015'), ('Mathematics', 0, '0.14001116'), ('Statistics', 1, '0.088789314'), ('Archaeology', 1, '0.0'), ('History', 0, '0.0'), ('Operating system', 1, '0.0')]"
W1996520479,https://doi.org/10.7250/mstct.2013.006,Connection Points of Woven Electrodes and its Durability,2014-02-06,False,False,"Existing nocturnal enuresis alarm systems are mostly rigid and inflexible, therefore they are not comfortable enough to use. To improve comfort conditions of the system, modular humidity sensor should be replaced by textile sensor that can be designed of conductive and insulating (non-conductive) yarns. In order to evaluate suitability of woven structures for sensors, another kind of samples was prepared as well where instead of conductive warp yarns conductive seams were sewn. In the samples fabrication horizontal and vertical contacts of sensor electrodes should be interconnected. In the paper fabrication process woven moisture sensor was described as well as durability of different connections (soldered and knot) of sensor electrodes vertical and horizontal contacts were tested. Contact tightness was evaluated with conductivity (in siemens) between vertical and horizontal contacts of electrodes. To compare durability of knot and soldered connections, wash test was performed using standard ISO 6330:2012. Electrical resistance was measured in samples before washing and after each washing cycle (in total 10 wash cycles were done). After test it was concluded that woven electrotextile structure improves durability of both soldered and knot conductive yarn connections that enhances sensorial feeling in textile as well. This example was developed using textile moisture sensors, however such kind of application can be used for other textile circuits as well where a number of electrical interconnections are realized.","[('Durability', 2, '0.8570927'), ('Electrical conductor', 2, '0.71793246'), ('Yarn', 2, '0.5702222'), ('Electrode', 2, '0.56258416'), ('Materials science', 0, '0.5568729'), ('Textile', 2, '0.54950154'), ('Fabrication', 3, '0.54549235'), ('Composite material', 1, '0.47869828'), ('Knot (papermaking)', 2, '0.44064486'), ('Woven fabric', 2, '0.41131383'), ('Electrical engineering', 1, '0.3518644'), ('Engineering', 0, '0.21251252'), ('Medicine', 0, '0.0'), ('Chemistry', 0, '0.0'), ('Alternative medicine', 2, '0.0'), ('Physical chemistry', 1, '0.0'), ('Pathology', 1, '0.0')]"
W2000689770,https://doi.org/10.7250/mstct.2013.014,The Impact of Mechanical and Chemico-mechanical Treatment on Natural Fibre Dimensions,2013-01-01,False,False,"The Research aim is to find the most time and energy economic treatment of natural fibres to obtain micro and nanofibres. Alkaline treatment, steam explosion autohydrolysis and ultrasonic treatment effect on hemp fibres and shives dimensions were examined. Fibres length, diameter, form factor and sifting amount were analyzed. The results of the analysis show that an increase in treatment intensity gives a higher amount of fibres being noticeably shorter and thinner than the untreated dew-retted fibres. Fine content of fibres and shives increases, when treatment intensity increases.","[('Composite material', 1, '0.5484706'), ('Materials science', 0, '0.52716225'), ('Dew', 3, '0.44184822'), ('Intensity (physics)', 2, '0.4277891'), ('Optics', 1, '0.1086342'), ('Physics', 0, '0.052904695'), ('Condensation', 2, '0.0'), ('Thermodynamics', 1, '0.0')]"
W2012362353,https://doi.org/10.7250/mstct.2013.005,Knitted Bandages for Animal Care and their Production Technology,2013-01-01,False,False,A new type of knitted bandages for wound cover for animals is proposed. Properties of different knitted stitches are compared and tested to provide good elasticity and breathability of bandage and the possibility to cut any necessary length and openings in it. The Technology of the production of the proposed bandages is developed.,"[('Bandage', 2, '0.75481105'), ('Production (economics)', 2, '0.51821715'), ('Elasticity (physics)', 2, '0.5089958'), ('Engineering', 0, '0.37392896'), ('Materials science', 0, '0.2688179'), ('Medicine', 0, '0.23744398'), ('Composite material', 1, '0.2199297'), ('Surgery', 1, '0.18021387'), ('Economics', 0, '0.0'), ('Macroeconomics', 1, '0.0')]"
W2033315184,https://doi.org/10.7250/mstct.2013.012,Universal Design and Sustainable Spatial Development,2014-02-06,False,False,"The article focuses on document research at the international level in the field of universal design, comparing the situation in Europe, the USA, and Latvia. Research summarizes the results and makes proposals for improvement of the situation in Latvia. Considering the problem, it has been concluded that universal design can be considered a tool of social policy that will allow anyone to incorporate himself in any environment.","[('Universal design', 2, '0.70513666'), ('Field (mathematics)', 2, '0.56406707'), ('Sustainable development', 2, '0.5563878'), ('Political science', 0, '0.41410014'), ('Computer science', 0, '0.40132368'), ('Architectural engineering', 1, '0.35714966'), ('Engineering ethics', 1, '0.3526151'), ('Management science', 1, '0.34065998'), ('Engineering', 0, '0.24250752'), ('World Wide Web', 1, '0.09417054'), ('Mathematics', 0, '0.083500326'), ('Law', 1, '0.07344738'), ('Pure mathematics', 1, '0.0')]"
W2052446081,https://doi.org/10.7250/mstct.2014.007,Vai pakalpojuma sniegsanas laiks ir normejams,2015-03-28,False,False,"Darba laika normēsana pakalpojumu sniegsanas sfērā joprojām ir aktuāla problēma darbinieku produktivitātes un atalgojuma noteiksanai. Analizējot apkopējas darbu, uzkopjamās telpas tika uzskaitītas un klasificētas pēc izmantosanas nolūka pazīmēm, un fiksēta darbizpildes secība, zīmējot secības kartes un laika diagrammas. Pētījuma novitāte saistīta ar ražosanas procesos lietotās normēsanas metodikas adaptēsanu pakalpojumu sektorā. Balstoties uz pētījuma rezultātiem, izstrādāta uzkopsanas darba speciālista darba laika izlietojuma noteiksanas metode.","[('Humanities', 1, '0.45834255'), ('Norm (philosophy)', 2, '0.43583703'), ('Mathematics', 0, '0.40301973'), ('Art', 0, '0.26766646'), ('Political science', 0, '0.2536087'), ('Law', 1, '0.050831765')]"
