id,display_name,works_count,type,alternate_titles
S4210170900,Revista SOBECC,500,journal,"Revista Associação Brasileira de Enfermeiros de Centro Cirúrgico, Recuperação Anestésica e Centro de Material de Esterilização"
S2764777115,Journal of Material Science and Engineering,10,journal,
S4210174556,Obrabotka metallov,320,journal,OM
S4210194499,ICCM bulletin,198,journal,Institute for the Conservation of Cultural Material bulletin
S4306479901,Society for the Advancement of Material and Process Engineering eBooks,14,ebook platform,
S2738076925,Materials Science and Applied Chemistry,99,journal,Material Science and Applied Chemistry
S4210213714,Haikibutsu shigen junkan gakkai ronbunshi,310,journal,Journal of the Japan Society of Material Cycles and Waste Management
S4210228664,Journal of Advancements in Material Engineering,7,journal,
S4210215585,材料科学与工程,140,journal,Material science and engineering
S198138539,Sampe Journal,95,journal,Society for the Advancement of Material and Process Engineering journal
S4210175669,European journal of material sciences,5,journal,EJMS
S4306534508,Volume 3: Hazardous Waste; Engineered/Geological Barriers in Disposal Systems; L/ILW; Radioactive Waste From Research/Industries; Spent Fuel/HLW Disposal; Public Involvement; Remediation of Uranium Mining/Milling; LL/ILW; Clearance/Exemption Levels; Mgmt. of Fissile Material; HLW; Dismantling; Reversible/Irreversible Disposal; Waste Avoidance/Minimization; Decontamination; Liquid Waste; Radioactive Waste Processing; Transport of Spent Fuel/HLW; Solid HLW Confinement; QA/QC,100,journal,
S4210233811,Open journal of functional material research,3,journal,OJFMR
S4210203391,材料化学前沿,102,journal,Advances in material chemistry
S4210217913,Mobilya ve ahşap malzeme araştırmaları dergisi,73,journal,Furniture and wooden material research journal
S4306488063,Institute for the History of Material Culture Russian Academy of Science eBooks,8,ebook platform,
S4210216880,Herom,51,journal,Journal on Hellenistic and Roman Material Culture
S4306490111,United Nations University Institute for Integrated Management of Material Fluxes and of Resources (UNU-FLORES) eBooks,5,ebook platform,
S4210169107,Zapiski Instituta istorii materialʹnoj kulʹtury RAN,193,journal,Transactions of the Institute for the History of Material Culture
S4210178112,Jurnal engine,64,journal,"Energi, manufaktur, dan material"
S4210196028,Medieval and Modern Matters,52,journal,Archeology and Material Culture in the Low Countries
S4306490570,ute for the History of Material Culture Russian Academy of Sciences eBooks,6,ebook platform,
S4210184914,Blucher Material Science Proceedings,2,journal,
S4210220804,Science insights material & chemistry,2,journal,
S4306488062,Institute for the History of Material Culture RAStitute for the History of Material Culture Russian Academy of Sciences eBooks,3,ebook platform,
S4210219282,Material und Organismen,1,journal,Supplement to Materials and organisms
S4210205488,Rīgas Tehniskās universitātes zinātniskie raksti,47,journal,Scientific Proceedings of Riga Technical university. Material Science
S4210233554,Rīgas Tehniskās Universitātes Zinātniskie raksti. Materiālzinātne un lietišk̦ā k̦īmija,61,journal,Scientific Proceedings of Riga Technical University. Material Science and Applied Chemistry
S16887640,Winterthur Portfolio-a Journal of American Material Culture,2,journal,
S4306424273,International Conference Smart Material Research,0,conference,
S4210224836,Jurnal Bio-Geo Material Dan Energi,1,journal,J-BiGME
S4306419067,International Conference Material Science and Engineering Technology,1,conference,
S4306488061,Institute for the History of Material Culture RAStitute for the History of Material Culture RAStitute for the History of Material Culture Russian Academy of Sciences eBooks,1,ebook platform,
S4306488059,Institute for the History of Material Culture of the Russian Academy of Sciences eBooks,2,ebook platform,
S4210169024,"International journal of manufacturing, material and mechanical engineering research",1,journal,IJMMMER
S4306421715,Buildings As Material Banks - A Pathway for a Circular Future,0,conference,
S4306488065,Institute for the History of Material Culture Russian Academy Sciences eBooks,0,ebook platform,
S4210172496,"Banber. Metalurgia, nyut'agitut'yun, ěnderk'ogtagortsum",30,journal,"Hayastani petakan chartaragitakan hamalsarani banber. Metalurgia, nyut'agitut'yun, ěnderk'ogtagortsum"
S4220651615,Metalik,7,journal,"Jurnal Manufaktur, Energi, Material Teknik"
S4210209988,Archaeology and text,9,journal,A journal for the integration of material culture with written documents in the ancient Mediterranean and Near East
S3207143860,Science and Technology of Advanced Materials: Methods,70,journal,STAM. Methods
S4210227230,Arcos,1,journal,"Arcos, design, cultura, material e visualidade"
